Data;Liczba
1999.855;-10.52
1999.882;-8.32
1999.909;-9.07
1999.963;-7.69
1999.991;-9.05
2000.018;-12.85
2000.045;-12.18
2000.072;-9.84
2000.099;-13.43
2000.126;-15.69
2000.153;-14.18
2000.18;-16.07
2000.207;-17.03
2000.235;-11.89
2000.289;-16.55
2000.316;-17.14
2000.343;-19.41
2000.37;-18.51
2000.397;-18.21
2000.424;-17.15
2000.451;-17.57
2000.478;-19.36
2000.505;-17.63
2000.533;-14.12
2000.587;-14.08
2000.614;-12.39
2000.641;-9.21
2000.668;-12.79
2000.695;-9.68
2000.722;-2.3
2000.749;-0.1
2000.776;-1.51
2000.803;-4.73
2000.858;-3.62
2000.884;-4.1
2000.913;-5.15
2000.939;-8.4
2000.966;-10.14
2000.993;-7.24
2001.02;-8.13
2001.075;-9.38
2001.102;-11.75
2001.129;-14.71
2001.156;-10.91
2001.183;-7.58
2001.21;-12.3
2001.238;-8.85
2001.265;-9.9
2001.292;-9.93
2001.319;-12.25
2001.346;-12.17
2001.373;-10.53
2001.401;-11.9
2001.428;-13.74
2001.455;-14.73
2001.482;-7.96
2001.509;-6.71
2001.536;-3.98
2001.564;-6.77
2001.591;-2.58
2001.618;-6.08
2001.645;-5.28
2001.672;-2.35
2001.699;3.28
2001.727;3.83
2001.754;3.54
2001.781;-0.87
2001.808;-2.81
2001.835;2.3
2001.862;3.91
2001.89;0.43
2001.917;-3.39
2001.944;-4.76
2001.971;-5.37
2001.998;-1.9
2002.026;-5.84
2002.052;-9.8
2002.081;-4.0
2002.107;-4.2
2002.134;-4.0
2002.161;-5.1
2002.189;-11.0
2002.216;-9.3
2002.243;-10.9
2002.27;-5.8
2002.297;-10.5
2002.324;-9.7
2002.351;-10.3
2002.379;-8.6
2002.406;-9.3
2002.433;-11.7
2002.46;-8.4
2002.487;-5.1
2002.514;-6.9
2002.542;-4.0
2002.569;-1.2
2002.596;0.5
2002.623;3.0
2002.65;0.4
2002.677;-0.4
2002.705;1.1
2002.732;4.2
2002.759;3.6
2002.786;7.3
2002.813;10.7
2002.84;3.6
2002.868;3.5
2002.893;6.2
2002.922;3.7
2002.949;2.9
2002.976;0.2
2003.003;-1.9
2003.031;-3.3
2003.058;1.9
2003.085;0.7
2003.112;2.7
2003.139;-3.0
2003.166;-5.0
2003.194;-3.1
2003.221;-2.4
2003.248;-3.6
2003.279;-4.3
2003.302;-6.3
2003.329;-5.6
2003.357;-4.6
2003.384;-4.5
2003.411;-4.7
2003.438;-6.8
2003.465;-5.2
2003.492;-7.2
2003.52;-6.0
2003.547;-1.2
2003.574;-1.9
2003.601;-0.0
2003.628;-1.8
2003.655;2.1
2003.683;5.5
2003.71;6.3
2003.737;6.9
2003.764;9.6
2003.791;7.9
2003.818;8.0
2003.846;6.6
2003.871;5.1
2003.927;6.1
2003.954;4.3
2003.981;-0.1
2004.008;-0.1
2004.036;4.3
2004.063;3.1
2004.09;0.5
2004.113;-5.5
2004.148;-1.2
2004.171;-1.3
2004.198;-1.9
2004.225;-2.0
2004.251;-0.3
2004.279;-2.3
2004.307;0.7
2004.334;-4.1
2004.361;-4.5
2004.388;-5.7
2004.415;-2.0
2004.442;-2.6
2004.469;-3.6
2004.496;0.8
2004.523;1.6
2004.55;0.7
2004.577;-1.3
2004.605;1.2
2004.632;4.9
2004.659;6.1
2004.686;8.6
2004.713;12.5
2004.74;9.4
2004.767;10.5
2004.794;12.1
2004.821;10.6
2004.848;10.7
2004.875;10.7
2004.902;5.2
2004.93;7.0
2004.957;7.4
2004.984;12.3
2005.011;5.8
2005.038;4.1
2005.065;5.9
2005.092;4.0
2005.12;5.2
2005.147;4.2
2005.174;7.8
2005.201;6.4
2005.228;0.4
2005.255;0.9
2005.282;5.1
2005.31;1.9
2005.337;3.5
2005.364;3.1
2005.391;2.1
2005.418;2.9
2005.446;3.8
2005.473;4.4
2005.5;3.7
2005.527;7.0
2005.554;3.8
2005.582;6.8
2005.609;5.4
2005.636;7.6
2005.663;10.7
2005.69;12.5
2005.749;14.4
2005.772;15.8
2005.799;14.1
2005.826;14.6
2005.853;17.2
2005.88;16.0
2005.908;14.4
2005.935;13.5
2005.962;13.4
2005.989;12.6
2006.016;9.0
2006.043;4.5
2006.07;6.0
2006.098;6.1
2006.125;4.6
2006.152;4.3
2006.179;5.6
2006.206;0.6
2006.233;4.0
2006.261;2.7
2006.288;1.7
2006.315;1.2
2006.342;2.1
2006.369;5.6
2006.396;5.9
2006.424;5.0
2006.451;5.1
2006.478;4.7
2006.505;6.9
2006.532;8.0
2006.559;7.7
2006.587;7.2
2006.614;5.8
2006.641;10.8
2006.668;14.9
2006.695;15.5
2006.722;17.5
2006.75;17.0
2006.777;18.0
2006.804;18.2
2006.889;15.6
2006.913;13.5
2006.939;16.8
2006.967;14.1
2006.994;12.2
2007.021;8.2
2007.048;5.1
2007.076;7.6
2007.103;6.6
2007.13;5.9
2007.157;7.6
2007.184;4.6
2007.211;5.7
2007.239;5.6
2007.265;8.4
2007.293;8.3
2007.32;6.7
2007.347;1.0
2007.374;5.7
2007.402;7.1
2007.429;5.9
2007.456;2.7
2007.483;2.9
2007.51;3.9
2007.537;3.5
2007.565;3.8
2007.592;6.2
2007.619;11.4
2007.646;9.7
2007.673;9.0
2007.7;10.9
2007.728;16.6
2007.755;16.4
2007.782;15.3
2007.809;15.9
2007.836;13.2
2007.863;16.4
2007.891;20.0
2007.918;18.5
2007.945;15.2
2007.972;9.1
2007.999;9.5
2008.026;10.5
2008.053;12.3
2008.08;11.1
2008.108;8.1
2008.135;9.1
2008.162;5.6
2008.189;8.3
2008.216;8.7
2008.243;6.7
2008.27;5.9
2008.297;6.7
2008.324;6.2
2008.379;11.7
2008.406;12.5
2008.433;10.4
2008.46;9.3
2008.487;10.9
2008.514;12.4
2008.541;11.4
2008.568;11.5
2008.595;11.2
2008.622;14.7
2008.649;14.5
2008.677;15.9
2008.704;15.3
2008.731;18.5
2008.758;19.3
2008.785;20.3
2008.812;20.8
2008.839;18.6
2008.866;19.5
2008.893;17.9
2008.92;21.0
2008.947;16.0
2008.975;13.8
2009.002;14.8
2009.029;15.0
2009.056;14.8
2009.083;12.4
2009.11;10.0
2009.137;11.5
2009.165;12.6
2009.192;12.6
2009.219;12.8
2009.246;12.7
2009.273;12.6
2009.3;13.0
2009.328;12.4
2009.355;11.3
2009.382;10.6
2009.409;10.0
2009.436;11.5
2009.463;12.4
2009.491;11.3
2009.518;10.4
2009.545;13.7
2009.572;18.5
2009.599;16.7
2009.626;18.5
2009.654;20.4
2009.681;23.0
2009.708;26.1
2009.735;26.0
2009.762;25.9
2009.789;26.5
2009.817;27.9
2009.844;28.3
2009.871;23.7
2009.898;25.0
2009.925;22.0
2009.952;19.7
2009.98;23.6
2010.007;19.8
2010.034;19.0
2010.061;17.1
2010.088;13.0
2010.115;16.6
2010.143;19.0
2010.17;22.1
2010.197;15.3
2010.224;15.2
2010.251;14.7
2010.278;17.2
2010.306;16.9
2010.333;13.8
2010.36;14.3
2010.387;17.7
2010.414;17.3
2010.441;18.0
2010.469;18.7
2010.496;18.8
2010.523;18.2
2010.55;20.1
2010.577;18.7
2010.604;18.5
2010.632;20.2
2010.659;17.4
2010.686;20.2
2010.713;21.0
2010.74;20.9
2010.767;21.8
2010.795;24.6
2010.822;22.9
2010.849;21.3
2010.876;21.5
2010.903;17.3
2010.93;17.3
2010.958;16.3
2010.985;17.9
2011.012;14.2
2011.039;13.5
2011.066;14.4
2011.093;13.1
2011.121;12.2
2011.148;12.1
2011.175;12.4
2011.202;12.6
2011.229;9.2
2011.256;11.3
2011.284;10.2
2011.311;9.8
2011.338;7.0
2011.365;11.1
2011.392;12.0
2011.419;12.1
2011.447;13.5
2011.474;16.4
2011.501;14.8
2011.528;15.0
2011.555;15.2
2011.582;17.2
2011.61;21.5
2011.637;23.2
2011.664;24.2
2011.691;23.3
2011.718;23.3
2011.745;26.1
2011.773;27.9
2011.8;29.9
2011.827;24.7
2011.854;23.4
2011.881;24.3
2011.908;27.4
2011.936;25.4
2011.963;25.1
2011.99;23.5
2012.017;24.7
2012.044;23.6
2012.071;24.5
2012.098;23.6
2012.125;23.8
2012.153;21.6
2012.18;21.0
2012.207;20.9
2012.234;22.4
2012.261;20.6
2012.288;20.8
2012.315;20.3
2012.342;20.6
2012.369;22.0
2012.396;21.3
2012.423;21.1
2012.451;25.7
2012.478;24.6
2012.505;24.9
2012.532;29.0
2012.559;31.4
2012.586;30.3
2012.613;31.5
2012.64;28.4
2012.667;33.5
2012.694;33.1
2012.721;37.3
2012.748;37.8
2012.776;39.1
2012.803;36.3
2012.83;36.1
2012.857;37.1
2012.884;36.3
2012.911;34.5
2012.938;36.8
2012.965;33.0
2012.992;33.0
2013.019;32.0
2013.047;30.8
2013.074;32.5
2013.101;31.1
2013.128;28.9
2013.155;30.5
2013.182;31.7
2013.21;29.2
2013.269;28.8
2013.291;25.2
2013.318;28.0
2013.345;28.3
2013.373;25.9
2013.4;24.5
2013.427;24.8
2013.454;24.5
2013.481;26.6
2013.508;25.8
2013.536;26.5
2013.563;29.3
2013.59;30.1
2013.617;26.6
2013.644;28.3
2013.668;32.1
2013.726;34.2
2013.753;35.6
2013.78;36.0
2013.807;39.3
2013.834;40.3
2013.862;38.6
2013.889;36.4
2013.916;35.4
2013.943;31.3
2013.97;32.0
2013.997;32.6
2014.025;31.6
2014.052;31.7
2014.079;30.3
2014.106;31.2
2014.133;33.2
2014.16;33.1
2014.188;32.5
2014.215;31.4
2014.242;30.7
2014.269;30.1
2014.296;29.8
2014.323;27.0
2014.351;26.7
2014.378;26.7
2014.405;27.9
2014.432;27.7
2014.459;29.4
2014.486;31.2
2014.514;32.8
2014.541;33.4
2014.568;31.9
2014.595;35.3
2014.622;38.2
2014.649;39.7
2014.677;39.1
2014.704;40.7
2014.731;38.9
2014.758;41.5
2014.785;45.0
2014.812;44.4
2014.84;41.5
2014.867;40.5
2014.894;36.4
2014.921;37.6
2014.948;44.9
2014.976;40.5
2015.003;35.4
2015.03;38.1
2015.057;37.4
2015.084;39.6
2015.111;39.2
2015.138;41.6
2015.166;40.5
2015.193;38.7
2015.22;37.4
2015.247;38.9
2015.274;39.7
2015.301;39.3
2015.329;38.2
2015.356;36.4
2015.383;35.1
2015.41;38.0
2015.437;39.0
2015.464;40.5
2015.492;42.1
2015.519;40.8
2015.546;42.5
2015.573;43.8
2015.6;47.4
2015.627;46.3
2015.655;52.3
2015.682;53.6
2015.709;52.5
2015.736;53.9
2015.763;55.9
2015.79;56.9
2015.818;58.4
2015.845;54.7
2015.872;50.6
2015.899;52.9
2015.926;51.4
2015.953;48.6
2015.981;47.4
2016.008;43.2
2016.035;47.1
2016.062;50.4
2016.089;45.8
2016.116;48.4
2016.143;45.3
2016.17;45.7
2016.195;43.8
2016.224;48.3
2016.252;45.4
2016.279;44.9
2016.306;42.3
2016.333;41.4
2016.36;41.2
2016.387;41.0
2016.414;43.8
2016.441;43.4
2016.468;44.7
2016.495;43.8
2016.522;43.7
2016.55;44.4
2016.577;42.8
2016.604;43.4
2016.631;43.5
2016.658;48.9
2016.685;51.3
2016.712;52.3
2016.739;51.4
2016.766;50.1
2016.793;53.7
2016.821;53.8
2016.848;54.9
2016.875;55.7
2016.902;58.3
2016.928;54.0
2016.956;50.4
2016.983;48.9
2017.01;47.2
2017.037;48.1
2017.065;45.9
2017.092;43.5
2017.119;42.5
2017.146;43.1
2017.173;43.8
2017.2;43.8
2017.227;44.5
2017.255;45.8
2017.282;43.7
2017.309;43.4
2017.336;42.8
2017.363;42.9
2017.39;39.3
2017.418;42.3
2017.445;42.3
2017.472;42.5
2017.499;43.8
2017.526;44.9
2017.554;45.5
2017.581;50.1
2017.608;49.5
2017.635;50.3
2017.662;52.7
2017.689;55.9
2017.717;56.7
2017.744;54.7
2017.771;55.2
2017.798;56.5
2017.825;58.7
2017.852;60.4
2017.879;59.1
2017.907;59.1
2017.934;57.3
2017.961;56.6
2017.988;52.6
2018.015;51.8
2018.042;51.4
2018.07;51.4
2018.097;51.2
2018.124;47.4
2018.151;45.8
2018.178;49.5
2018.205;48.9
2018.233;47.1
2018.26;44.8
2018.287;46.0
2018.314;46.6
2018.341;46.8
2018.368;46.4
2018.396;44.9
2018.423;46.3
2018.45;46.0
2018.477;46.4
2018.504;47.3
2018.531;50.3
2018.559;51.8
2018.586;51.3
2018.613;52.8
2018.64;54.3
2018.667;56.7
2018.694;60.8
2018.722;59.9
2018.749;63.6
2018.776;61.8
2018.803;63.3
2018.83;65.3
2018.857;62.6
2018.885;60.3
2018.912;58.0
2018.939;57.7
2018.966;57.1
2018.993;56.3
2019.02;54.4
2019.048;58.6
2019.075;54.4
2019.102;55.6
2019.129;54.7
2019.187;53.9
2019.211;56.1
2019.238;54.1
2019.292;52.6
2019.319;54.7
2019.346;56.4
2019.374;53.3
2019.401;51.8
2019.428;51.3
2019.455;56.1
2019.482;55.7
2019.509;57.2
2019.537;56.8
2019.564;57.4
2019.591;58.6
2019.618;63.1
2019.645;65.7
2019.672;65.1
2019.7;66.6
2019.727;67.0
2019.754;66.1
2019.781;68.3
2019.808;67.6
2019.835;65.7
2019.863;68.7
2019.89;66.6
2019.917;66.0
2019.944;66.1
2019.971;63.3
2019.998;61.9
2020.026;58.1
2020.053;55.6
2020.074;57.5
2020.134;59.3
2020.161;56.6
2020.188;58.2
2020.215;54.8
2020.242;56.7
2020.269;57.9
2020.296;55.1
2020.324;54.7
2020.351;56.5
2020.378;56.5
2020.405;57.3
2020.432;58.0
2020.458;56.0
2020.486;58.1
2020.513;58.1
2020.54;60.1
2020.567;61.6
2020.594;62.0
2020.622;61.1
2020.649;64.0
2020.676;66.0
2020.703;67.3
2020.73;68.1
2020.757;70.0
2020.784;71.2
2020.809;70.7
2020.839;72.6
2020.865;70.7
2020.892;66.5
2020.92;68.9
2020.947;66.2
2020.974;65.7
2021.001;65.3
2021.028;65.8
2021.055;65.7
2021.082;65.5
2021.109;61.9
2021.137;59.3
2021.164;58.1
2021.191;59.7
2021.218;61.0
2021.245;63.2
2021.272;63.1
2021.299;62.8
2021.327;59.3
2021.354;61.0
2021.381;62.3
2021.408;61.1
2021.435;58.6
2021.494;62.2
2021.517;63.0
2021.544;62.7
2021.571;65.9
2021.598;69.3
