word_count,date
56,2021-10-25 23:14:40
34,2021-10-25 23:11:35
30,2021-10-25 23:11:23
49,2021-10-25 23:11:11
34,2021-10-25 23:09:15
7,2021-10-25 23:09:04
53,2021-10-25 23:07:18
2,2021-10-25 23:06:52
13,2021-10-25 23:06:50
53,2021-10-25 23:05:52
59,2021-10-25 23:05:08
28,2021-10-25 23:04:55
5,2021-10-25 23:04:10
22,2021-10-25 23:04:06
15,2021-10-25 23:03:24
33,2021-10-25 23:03:19
24,2021-10-25 23:02:55
33,2021-10-25 23:02:50
24,2021-10-25 23:02:41
12,2021-10-22 15:02:35
19,2021-10-22 15:01:15
0,2021-10-22 14:59:19
35,2021-10-21 23:25:12
5,2021-10-21 23:18:21
27,2021-10-21 23:18:19
5,2021-10-21 23:16:59
16,2021-10-21 23:16:56
2,2021-10-21 23:14:54
9,2021-10-21 23:14:50
32,2021-10-21 23:14:32
44,2021-10-21 23:14:27
29,2021-10-21 23:14:15
9,2021-10-21 23:11:52
8,2021-10-21 23:11:46
5,2021-10-21 23:11:43
28,2021-10-21 23:11:03
12,2021-10-21 23:10:58
35,2021-10-21 23:10:49
14,2021-10-21 23:10:42
26,2021-10-21 23:10:38
0,2021-10-21 23:10:24
3,2021-10-21 23:10:23
0,2021-10-21 23:10:12
50,2021-10-21 20:26:35
72,2021-10-21 20:26:24
13,2021-10-21 14:02:05
37,2021-10-21 14:02:02
17,2021-10-21 14:01:38
25,2021-10-20 13:33:48
4,2021-10-20 13:33:42
11,2021-10-20 13:32:48
68,2021-10-20 13:32:46
22,2021-10-20 13:32:30
5,2021-10-20 13:32:18
9,2021-10-20 11:59:26
19,2021-10-20 11:59:04
49,2021-10-20 11:58:58
7,2021-10-19 18:00:40
24,2021-10-19 17:59:55
57,2021-10-19 17:59:50
27,2021-10-18 16:52:18
29,2021-10-18 16:52:16
41,2021-10-18 16:52:15
31,2021-10-18 16:50:46
36,2021-10-18 16:50:30
33,2021-10-18 16:46:58
28,2021-10-18 16:46:51
17,2021-10-18 16:46:43
28,2021-10-18 16:45:20
7,2021-10-18 16:45:13
9,2021-10-18 16:43:11
29,2021-10-18 16:43:03
26,2021-10-18 16:42:03
28,2021-10-18 16:39:47
13,2021-10-18 16:37:55
11,2021-10-18 16:37:29
36,2021-10-18 16:37:27
78,2021-10-18 16:37:18
16,2021-10-18 16:35:12
0,2021-10-18 16:35:04
36,2021-10-18 16:31:59
9,2021-10-18 11:34:41
31,2021-10-15 11:26:04
32,2021-10-13 22:14:09
50,2021-10-13 22:14:01
51,2021-10-13 22:13:50
47,2021-10-13 22:13:36
31,2021-10-13 22:12:47
35,2021-10-13 22:11:30
29,2021-10-13 22:11:17
42,2021-10-13 22:11:10
40,2021-10-13 22:10:34
43,2021-10-13 22:10:24
20,2021-10-13 22:10:07
56,2021-10-13 22:08:42
42,2021-10-13 22:08:26
53,2021-10-13 22:06:47
27,2021-10-13 22:06:37
