"master_metadata_album_artist_name","master_metadata_track_name","master_metadata_album_album_name","spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"The Doors","Riders on the Storm","L.A. Woman","spotify:track:14XWXWv5FoCbFzLksawpEe","acid rock, classic rock, psychedelic rock, rock",0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,"audio_features","14XWXWv5FoCbFzLksawpEe","spotify:track:14XWXWv5FoCbFzLksawpEe","https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe","https://api.spotify.com/v1/audio-analysis/14XWXWv5FoCbFzLksawpEe",434720,4
"Derek & The Dominos","Layla","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:2kkvB3RNRzwjFdGhaUA0tz","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.404,0.902,1,-3.88,1,0.0665,0.577,0.297,0.287,0.497,115.669,"audio_features","2kkvB3RNRzwjFdGhaUA0tz","spotify:track:2kkvB3RNRzwjFdGhaUA0tz","https://api.spotify.com/v1/tracks/2kkvB3RNRzwjFdGhaUA0tz","https://api.spotify.com/v1/audio-analysis/2kkvB3RNRzwjFdGhaUA0tz",423840,4
"Derek & The Dominos","Keep On Growing","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:6QwOmMMlQ9dlZlS12yFc2b","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.506,0.906,10,-6.309,1,0.0652,0.357,0.278,0.126,0.724,92.578,"audio_features","6QwOmMMlQ9dlZlS12yFc2b","spotify:track:6QwOmMMlQ9dlZlS12yFc2b","https://api.spotify.com/v1/tracks/6QwOmMMlQ9dlZlS12yFc2b","https://api.spotify.com/v1/audio-analysis/6QwOmMMlQ9dlZlS12yFc2b",380680,4
"Derek & The Dominos","I Looked Away","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:2xNruEPnV3JHJ9qvHvcEF3","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.501,0.488,0,-9.131,1,0.029,0.324,0.00113,0.165,0.729,117.573,"audio_features","2xNruEPnV3JHJ9qvHvcEF3","spotify:track:2xNruEPnV3JHJ9qvHvcEF3","https://api.spotify.com/v1/tracks/2xNruEPnV3JHJ9qvHvcEF3","https://api.spotify.com/v1/audio-analysis/2xNruEPnV3JHJ9qvHvcEF3",184560,4
"Derek & The Dominos","Little Wing","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:2Wq9vCNpcpJOhsZb1JvLhH","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.275,0.81,6,-4.396,0,0.0424,0.464,0.0125,0.36,0.607,133.729,"audio_features","2Wq9vCNpcpJOhsZb1JvLhH","spotify:track:2Wq9vCNpcpJOhsZb1JvLhH","https://api.spotify.com/v1/tracks/2Wq9vCNpcpJOhsZb1JvLhH","https://api.spotify.com/v1/audio-analysis/2Wq9vCNpcpJOhsZb1JvLhH",333133,4
"Derek & The Dominos","Nobody Knows You When You're Down And Out","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:0xvRoqvLmijll3D5qTnrRP","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.456,0.512,0,-8.454,1,0.0284,0.908,0.426,0.736,0.376,83.256,"audio_features","0xvRoqvLmijll3D5qTnrRP","spotify:track:0xvRoqvLmijll3D5qTnrRP","https://api.spotify.com/v1/tracks/0xvRoqvLmijll3D5qTnrRP","https://api.spotify.com/v1/audio-analysis/0xvRoqvLmijll3D5qTnrRP",297320,3
"Derek & The Dominos","Bell Bottom Blues","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:2YJgM8lj4u5YEZRSHSfL60","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.404,0.695,2,-6.162,1,0.034,0.587,0.0383,0.159,0.646,133.136,"audio_features","2YJgM8lj4u5YEZRSHSfL60","spotify:track:2YJgM8lj4u5YEZRSHSfL60","https://api.spotify.com/v1/tracks/2YJgM8lj4u5YEZRSHSfL60","https://api.spotify.com/v1/audio-analysis/2YJgM8lj4u5YEZRSHSfL60",301720,4
"Derek & The Dominos","Have You Ever Loved A Woman?","Layla And Other Assorted Love Songs (Remastered 2010)","spotify:track:2ROJOb98GorxStuOuZWcGd","album rock, art rock, blues, blues rock, british blues, classic rock, country rock, electric blues, folk rock, hard rock, mellow gold, psychedelic rock, rock, roots rock, soft rock",0.303,0.648,0,-6.795,1,0.0512,0.642,0.053,0.407,0.644,170.379,"audio_features","2ROJOb98GorxStuOuZWcGd","spotify:track:2ROJOb98GorxStuOuZWcGd","https://api.spotify.com/v1/tracks/2ROJOb98GorxStuOuZWcGd","https://api.spotify.com/v1/audio-analysis/2ROJOb98GorxStuOuZWcGd",412960,3
"Tony Bennett","Rags to Riches","The Columbia Singles, Vol. 2","spotify:track:4BH8EuPAxeFAh1rSWtnGdD","adult standards, easy listening, vocal jazz",0.409,0.435,2,-9.399,1,0.0453,0.907,7.17e-06,0.0559,0.567,78.136,"audio_features","4BH8EuPAxeFAh1rSWtnGdD","spotify:track:4BH8EuPAxeFAh1rSWtnGdD","https://api.spotify.com/v1/tracks/4BH8EuPAxeFAh1rSWtnGdD","https://api.spotify.com/v1/audio-analysis/4BH8EuPAxeFAh1rSWtnGdD",168480,4
"Otis Williams & The Charms","Hearts of Stone","Singles Collection 1953-1958","spotify:track:3horT8TMu8NN9GDWEZWaNd","",0.661,0.791,3,-5.829,1,0.0594,0.77,0,0.0442,0.852,75.405,"audio_features","3horT8TMu8NN9GDWEZWaNd","spotify:track:3horT8TMu8NN9GDWEZWaNd","https://api.spotify.com/v1/tracks/3horT8TMu8NN9GDWEZWaNd","https://api.spotify.com/v1/audio-analysis/3horT8TMu8NN9GDWEZWaNd",154827,4
