"ts","artistName","trackName","ms_played"
"2021-01-08 16:47","JAY-Z","Otis",320
"2021-01-08 16:47","Kanye West","Feedback",298
"2021-01-08 16:51","Kanye West","Real Friends",251573
"2021-01-08 17:14","Kanye West","Feedback",42625
"2021-01-08 17:16","Malik Montana","Mordo Wez",137419
"2021-01-08 17:19","Malik Montana","Mordo Wez",137419
"2021-01-08 17:34","Malik Montana","Mordo Wez",200363
"2021-01-08 17:34","Kanye West","Real Friends",1024
"2021-01-08 17:36","Joel Corry","Head & Heart (feat. MNEK)",166028
"2021-01-08 17:37","Joel Corry","Head & Heart (feat. MNEK)",9613
"2021-01-08 17:37","Sean Paul","Give It Up to Me - Radio Edit",60202
"2021-01-08 17:38","Sean Paul","Give It Up to Me - Radio Edit",61718
"2021-01-08 17:38","JAY-Z","Otis",673
"2021-01-08 17:41","JAY-Z","Otis",178213
"2021-01-08 17:42","T.I.","Dead And Gone",55890
"2021-01-08 17:46","Justin Timberlake","What Goes Around.../...Comes Around (Interlude)",2368
"2021-01-08 17:46","Justin Timberlake","What Goes Around.../...Comes Around (Interlude)",1393
"2021-01-08 17:46","Justin Timberlake","What Goes Around.../...Comes Around (Interlude)",2113
"2021-01-08 17:46","T.I.","Dead And Gone",3088
"2021-01-08 17:51","Joel Corry","Head & Heart (feat. MNEK)",1044
"2021-01-08 17:51","JAY-Z","Otis",301371
"2021-01-08 17:54","Joel Corry","Head & Heart (feat. MNEK)",6334
"2021-01-08 17:54","Masno","OMAMA",2345
"2021-01-08 17:54","Masno","OMAMA",152640
"2021-01-08 17:58","JAY-Z","Otis",217060
"2021-01-08 18:00","Malik Montana","Mordo Wez",137419
"2021-01-08 18:03","Malik Montana","Mordo Wez",137419
"2021-01-08 18:06","Black Eyed Peas","Pump It",90953
"2021-01-08 18:08","LX","Kryptophon",128940
"2021-01-08 18:10","Malik Montana","Mordo Wez",137419
"2021-01-08 18:14","Deemz","I Took A Pill In Remiza",193441
"2021-01-08 18:16","Masno","OMAMA",152640
"2021-01-08 18:19","¯abson","Floyd Mayweather",159856
"2021-01-08 18:19","Drake","Pain 1993 (with Playboi Carti)",9386
"2021-01-08 18:19","Kanye West","Real Friends",8359
"2021-01-08 18:19","Nelly Furtado","Promiscuous",2600
"2021-01-08 18:20","Drake","Pain 1993 (with Playboi Carti)",19202
"2021-01-08 18:21","Malik Montana","Mordo Wez",79876
"2021-01-08 18:26","Playboi Carti","Sky",0
"2021-01-08 18:26","¯abson","Floyd Mayweather",304181
"2021-01-08 18:26","Alberto","Dwutakt",3808
"2021-01-08 18:28","Playboi Carti","Go2DaMoon (feat. Kanye West)",119737
"2021-01-08 18:31","Playboi Carti","Sky",193234
"2021-01-08 18:33","Playboi Carti","New N3on",116360
"2021-01-08 18:34","Playboi Carti","Place",29107
"2021-01-08 18:36","Playboi Carti","ILoveUIHateU",135122
"2021-01-08 18:39","Playboi Carti","Beno!",153333
