"rodzaj","gracz","color","nazwa","n","typ"
"rapid","Mlodziak77","both","e",398,"Pawns_moves"
"rapid","Mlodziak77","both","f",184,"Pawns_moves"
"rapid","Mlodziak77","both","g",159,"Pawns_moves"
"rapid","Mlodziak77","both","h",154,"Pawns_moves"
"rapid","Mlodziak77","white","a",70,"Pawns_moves"
"rapid","Mlodziak77","white","b",81,"Pawns_moves"
"rapid","Mlodziak77","white","c",130,"Pawns_moves"
"rapid","Mlodziak77","white","d",189,"Pawns_moves"
"rapid","Mlodziak77","white","e",214,"Pawns_moves"
"rapid","Mlodziak77","white","f",110,"Pawns_moves"
"rapid","Mlodziak77","white","g",66,"Pawns_moves"
"rapid","Mlodziak77","white","h",77,"Pawns_moves"
"bullet","tymekkk","black","a",0,"Pawns_moves"
"bullet","tymekkk","black","b",0,"Pawns_moves"
"bullet","tymekkk","black","c",0,"Pawns_moves"
"bullet","tymekkk","black","d",0,"Pawns_moves"
"bullet","tymekkk","black","e",0,"Pawns_moves"
"bullet","tymekkk","black","f",0,"Pawns_moves"
"bullet","tymekkk","black","g",0,"Pawns_moves"
"bullet","tymekkk","black","h",0,"Pawns_moves"
"bullet","tymekkk","white","a",0,"Pawns_moves"
"bullet","tymekkk","white","b",0,"Pawns_moves"
"bullet","tymekkk","white","c",0,"Pawns_moves"
"bullet","tymekkk","white","d",0,"Pawns_moves"
"bullet","tymekkk","white","e",0,"Pawns_moves"
"bullet","tymekkk","white","f",0,"Pawns_moves"
"bullet","tymekkk","white","g",0,"Pawns_moves"
"bullet","tymekkk","white","h",0,"Pawns_moves"
"bullet","tymekkk","both","a",0,"Pawns_moves"
"bullet","tymekkk","both","b",0,"Pawns_moves"
"bullet","tymekkk","both","c",0,"Pawns_moves"
"bullet","tymekkk","both","d",0,"Pawns_moves"
"bullet","tymekkk","both","e",0,"Pawns_moves"
"bullet","tymekkk","both","f",0,"Pawns_moves"
"bullet","tymekkk","both","g",0,"Pawns_moves"
"bullet","tymekkk","both","h",0,"Pawns_moves"
"rapid","tymekkk","black","a",0,"Pawns_moves"
"rapid","tymekkk","black","b",0,"Pawns_moves"
"rapid","tymekkk","black","c",0,"Pawns_moves"
"rapid","tymekkk","black","d",0,"Pawns_moves"
"rapid","tymekkk","black","e",0,"Pawns_moves"
"rapid","tymekkk","black","f",0,"Pawns_moves"
"rapid","tymekkk","black","g",0,"Pawns_moves"
"rapid","tymekkk","black","h",0,"Pawns_moves"
"rapid","tymekkk","white","a",0,"Pawns_moves"
"rapid","tymekkk","white","b",0,"Pawns_moves"
"rapid","tymekkk","white","c",0,"Pawns_moves"
"rapid","tymekkk","white","d",0,"Pawns_moves"
"rapid","tymekkk","white","e",0,"Pawns_moves"
"rapid","tymekkk","white","f",0,"Pawns_moves"
"rapid","tymekkk","white","g",0,"Pawns_moves"
"rapid","tymekkk","white","h",0,"Pawns_moves"
"rapid","tymekkk","both","a",0,"Pawns_moves"
"rapid","tymekkk","both","b",0,"Pawns_moves"
"rapid","tymekkk","both","c",0,"Pawns_moves"
"rapid","tymekkk","both","d",0,"Pawns_moves"
"rapid","tymekkk","both","e",0,"Pawns_moves"
"rapid","tymekkk","both","f",0,"Pawns_moves"
"rapid","tymekkk","both","g",0,"Pawns_moves"
"rapid","tymekkk","both","h",0,"Pawns_moves"
"blitz","grooney","black","a",90,"Pawns_captures"
"blitz","grooney","black","b",123,"Pawns_captures"
"blitz","grooney","black","c",299,"Pawns_captures"
"blitz","grooney","black","d",251,"Pawns_captures"
"blitz","grooney","black","e",204,"Pawns_captures"
"blitz","grooney","black","f",143,"Pawns_captures"
"blitz","grooney","black","g",124,"Pawns_captures"
"blitz","grooney","black","h",90,"Pawns_captures"
"blitz","grooney","both","a",172,"Pawns_captures"
"blitz","grooney","both","b",235,"Pawns_captures"
"blitz","grooney","both","c",501,"Pawns_captures"
"blitz","grooney","both","d",453,"Pawns_captures"
"blitz","grooney","both","e",470,"Pawns_captures"
"blitz","grooney","both","f",302,"Pawns_captures"
"blitz","grooney","both","g",224,"Pawns_captures"
"blitz","grooney","both","h",163,"Pawns_captures"
"blitz","grooney","white","a",82,"Pawns_captures"
"blitz","grooney","white","b",112,"Pawns_captures"
"blitz","grooney","white","c",202,"Pawns_captures"
"blitz","grooney","white","d",202,"Pawns_captures"
"blitz","grooney","white","e",266,"Pawns_captures"
"blitz","grooney","white","f",159,"Pawns_captures"
"blitz","grooney","white","g",100,"Pawns_captures"
"blitz","grooney","white","h",73,"Pawns_captures"
