"gracz","rodzaj","color","opening_name","X","Y","count"
"tymekkk","blitz","white","Caro Kann","c","5",10
"tymekkk","blitz","white","Caro Kann","c","6",4
"tymekkk","blitz","white","Caro Kann","c","7",4
"tymekkk","blitz","white","Caro Kann","c","8",7
"tymekkk","blitz","white","Caro Kann","d","1",14
"tymekkk","blitz","white","Caro Kann","d","2",65
"tymekkk","blitz","white","Caro Kann","d","3",92
"tymekkk","blitz","white","Caro Kann","d","4",84
"tymekkk","blitz","white","Caro Kann","d","5",19
"tymekkk","blitz","white","Caro Kann","d","6",4
"tymekkk","blitz","white","Caro Kann","d","7",10
"tymekkk","blitz","white","Caro Kann","d","8",5
"tymekkk","blitz","white","Caro Kann","e","1",17
"tymekkk","blitz","white","Caro Kann","e","2",49
"tymekkk","blitz","white","Caro Kann","e","3",60
"tymekkk","blitz","white","Caro Kann","e","4",53
"tymekkk","blitz","white","Caro Kann","e","5",58
"tymekkk","blitz","white","Caro Kann","e","6",18
"tymekkk","blitz","white","Caro Kann","e","7",6
"tymekkk","blitz","white","Caro Kann","e","8",5
"tymekkk","blitz","white","Caro Kann","f","1",44
"tymekkk","blitz","white","Caro Kann","f","2",31
"tymekkk","blitz","white","Caro Kann","f","3",52
"tymekkk","blitz","white","Caro Kann","f","4",51
"tymekkk","blitz","white","Caro Kann","f","5",55
"tymekkk","blitz","white","Caro Kann","f","6",29
"tymekkk","blitz","white","Caro Kann","f","7",10
"tymekkk","blitz","white","Caro Kann","f","8",1
"tymekkk","blitz","white","Caro Kann","g","1",58
"tymekkk","blitz","white","Caro Kann","g","2",24
"tymekkk","blitz","white","Caro Kann","g","3",39
"tymekkk","blitz","white","Caro Kann","g","4",48
"tymekkk","blitz","white","Caro Kann","g","5",29
"tymekkk","blitz","white","Caro Kann","g","6",10
"tymekkk","blitz","white","Caro Kann","g","7",3
"tymekkk","blitz","white","Caro Kann","g","8",2
"tymekkk","blitz","white","Caro Kann","h","1",23
"tymekkk","blitz","white","Caro Kann","h","2",8
"tymekkk","blitz","white","Caro Kann","h","3",20
"tymekkk","blitz","white","Caro Kann","h","4",25
"tymekkk","blitz","white","Caro Kann","h","5",13
"tymekkk","blitz","white","Caro Kann","h","6",9
"tymekkk","blitz","white","Caro Kann","h","7",3
"tymekkk","blitz","white","Caro Kann","h","8",3
"tymekkk","blitz","black","English Opening","a","1",1
"tymekkk","blitz","black","English Opening","a","2",2
"tymekkk","blitz","black","English Opening","a","3",4
"tymekkk","blitz","black","English Opening","a","4",5
"tymekkk","blitz","black","English Opening","a","5",9
"tymekkk","blitz","black","English Opening","a","6",12
"tymekkk","blitz","black","English Opening","a","7",3
"tymekkk","blitz","black","English Opening","a","8",3
"tymekkk","blitz","black","English Opening","b","1",3
"tymekkk","blitz","black","English Opening","b","2",2
"tymekkk","blitz","black","English Opening","b","3",5
"tymekkk","blitz","black","English Opening","b","4",11
"tymekkk","blitz","black","English Opening","b","5",9
"tymekkk","blitz","black","English Opening","b","6",14
"tymekkk","blitz","black","English Opening","b","7",5
"tymekkk","blitz","black","English Opening","b","8",8
"tymekkk","blitz","black","English Opening","c","1",3
"tymekkk","blitz","black","English Opening","c","2",4
"tymekkk","blitz","black","English Opening","c","3",8
"tymekkk","blitz","black","English Opening","c","4",10
"tymekkk","blitz","black","English Opening","c","5",15
"tymekkk","blitz","black","English Opening","c","6",21
"tymekkk","blitz","black","English Opening","c","7",11
"tymekkk","blitz","black","English Opening","c","8",15
"tymekkk","blitz","black","English Opening","d","1",6
"tymekkk","blitz","black","English Opening","d","2",7
"tymekkk","blitz","black","English Opening","d","3",3
"tymekkk","blitz","black","English Opening","d","4",19
"tymekkk","blitz","black","English Opening","d","5",24
"tymekkk","blitz","black","English Opening","d","6",22
"tymekkk","blitz","black","English Opening","d","7",17
"tymekkk","blitz","black","English Opening","d","8",11
"tymekkk","blitz","black","English Opening","e","1",1
"tymekkk","blitz","black","English Opening","e","2",2
"tymekkk","blitz","black","English Opening","e","3",7
"tymekkk","blitz","black","English Opening","e","4",16
"tymekkk","blitz","black","English Opening","e","5",18
"tymekkk","blitz","black","English Opening","e","6",22
"tymekkk","blitz","black","English Opening","e","7",16
"tymekkk","blitz","black","English Opening","e","8",9
"tymekkk","blitz","black","English Opening","f","1",1
"tymekkk","blitz","black","English Opening","f","2",1
"tymekkk","blitz","black","English Opening","f","3",7
"tymekkk","blitz","black","English Opening","f","4",6
"tymekkk","blitz","black","English Opening","f","5",16
"tymekkk","blitz","black","English Opening","f","6",28
"tymekkk","blitz","black","English Opening","f","7",4
"tymekkk","blitz","black","English Opening","f","8",23
"tymekkk","blitz","black","English Opening","g","2",4
"tymekkk","blitz","black","English Opening","g","3",4
"tymekkk","blitz","black","English Opening","g","4",7
"tymekkk","blitz","black","English Opening","g","5",9
"tymekkk","blitz","black","English Opening","g","6",16
"tymekkk","blitz","black","English Opening","g","7",11
"tymekkk","blitz","black","English Opening","g","8",13
"tymekkk","blitz","black","English Opening","h","1",2
"tymekkk","blitz","black","English Opening","h","2",1
"tymekkk","blitz","black","English Opening","h","3",4
"tymekkk","blitz","black","English Opening","h","4",5
"tymekkk","blitz","black","English Opening","h","5",4
"tymekkk","blitz","black","English Opening","h","6",7
"tymekkk","blitz","black","English Opening","h","7",2
"tymekkk","blitz","black","English Opening","h","8",1
"tymekkk","blitz","black","Four Knights","a","1",1
"tymekkk","blitz","black","Four Knights","a","2",1
"tymekkk","blitz","black","Four Knights","a","3",1
"tymekkk","blitz","black","Four Knights","a","5",1
"tymekkk","blitz","black","Four Knights","b","4",2
"tymekkk","blitz","black","Four Knights","b","5",1
"tymekkk","blitz","black","Four Knights","b","6",1
"tymekkk","blitz","black","Four Knights","c","4",1
"tymekkk","blitz","black","Four Knights","c","5",1
"tymekkk","blitz","black","Four Knights","c","6",2
"tymekkk","blitz","black","Four Knights","d","1",2
"tymekkk","blitz","black","Four Knights","d","2",1
"tymekkk","blitz","black","Four Knights","d","4",1
"tymekkk","blitz","black","Four Knights","d","6",1
"tymekkk","blitz","black","Four Knights","d","8",3
"tymekkk","blitz","black","Four Knights","e","1",1
"tymekkk","blitz","black","Four Knights","e","5",2
"tymekkk","blitz","black","Four Knights","e","6",2
"tymekkk","blitz","black","Four Knights","e","7",2
"tymekkk","blitz","black","Four Knights","f","2",1
"tymekkk","blitz","black","Four Knights","f","6",2
"tymekkk","blitz","black","Four Knights","f","7",1
"tymekkk","blitz","black","Four Knights","f","8",1
"tymekkk","blitz","black","Four Knights","g","4",1
"tymekkk","blitz","black","Four Knights","g","8",1
"tymekkk","blitz","black","Four Knights","h","6",1
"tymekkk","blitz","white","Four Knights","b","3",1
"tymekkk","blitz","white","Four Knights","b","5",1
"tymekkk","blitz","white","Four Knights","c","1",3
"tymekkk","blitz","white","Four Knights","c","2",2
"tymekkk","blitz","white","Four Knights","c","3",2
"tymekkk","blitz","white","Four Knights","c","4",2
"tymekkk","blitz","white","Four Knights","c","6",1
"tymekkk","blitz","white","Four Knights","c","7",1
"tymekkk","blitz","white","Four Knights","d","2",1
"tymekkk","blitz","white","Four Knights","d","4",3
"tymekkk","blitz","white","Four Knights","e","2",4
"tymekkk","blitz","white","Four Knights","e","3",1
"tymekkk","blitz","white","Four Knights","e","4",1
"tymekkk","blitz","white","Four Knights","e","6",1
"tymekkk","blitz","white","Four Knights","f","2",1
"tymekkk","blitz","white","Four Knights","f","3",3
"tymekkk","blitz","white","Four Knights","f","4",1
"tymekkk","blitz","white","Four Knights","f","6",1
"tymekkk","blitz","white","Four Knights","f","7",3
"tymekkk","blitz","white","Four Knights","g","3",1
"tymekkk","blitz","white","Four Knights","g","4",3
"tymekkk","blitz","white","Four Knights","g","5",2
"tymekkk","blitz","white","Four Knights","g","6",1
"tymekkk","blitz","white","Four Knights","h","4",2
"tymekkk","blitz","white","Four Knights","h","5",3
"tymekkk","blitz","black","French Defense","a","1",21
"tymekkk","blitz","black","French Defense","a","2",27
"tymekkk","blitz","black","French Defense","a","3",36
"tymekkk","blitz","black","French Defense","a","4",43
"tymekkk","blitz","black","French Defense","a","5",85
"tymekkk","blitz","black","French Defense","a","6",115
"tymekkk","blitz","black","French Defense","a","7",19
"tymekkk","blitz","black","French Defense","a","8",15
"tymekkk","blitz","black","French Defense","b","1",18
"tymekkk","blitz","black","French Defense","b","2",46
"tymekkk","blitz","black","French Defense","b","3",36
"tymekkk","blitz","black","French Defense","b","4",85
"tymekkk","blitz","black","French Defense","b","5",121
"tymekkk","blitz","black","French Defense","b","6",141
"tymekkk","blitz","black","French Defense","b","7",79
"tymekkk","blitz","black","French Defense","b","8",53
"tymekkk","blitz","black","French Defense","c","1",31
"tymekkk","blitz","black","French Defense","c","2",44
"tymekkk","blitz","black","French Defense","c","3",63
"tymekkk","blitz","black","French Defense","c","4",100
"tymekkk","blitz","black","French Defense","c","5",227
"tymekkk","blitz","black","French Defense","c","6",277
"tymekkk","blitz","black","French Defense","c","7",147
"tymekkk","blitz","black","French Defense","c","8",117
"tymekkk","blitz","black","French Defense","d","1",23
"tymekkk","blitz","black","French Defense","d","2",43
"tymekkk","blitz","black","French Defense","d","3",78
"tymekkk","blitz","black","French Defense","d","4",220
"tymekkk","blitz","black","French Defense","d","5",400
"tymekkk","blitz","black","French Defense","d","6",214
"tymekkk","blitz","black","French Defense","d","7",312
"tymekkk","blitz","black","French Defense","d","8",130
"tymekkk","blitz","black","French Defense","e","1",29
"tymekkk","blitz","black","French Defense","e","2",50
"tymekkk","blitz","black","French Defense","e","3",77
"tymekkk","blitz","black","French Defense","e","4",209
"tymekkk","blitz","black","French Defense","e","5",216
"tymekkk","blitz","black","French Defense","e","6",320
"tymekkk","blitz","black","French Defense","e","7",257
"tymekkk","blitz","black","French Defense","e","8",180
"tymekkk","blitz","black","French Defense","f","1",21
"tymekkk","blitz","black","French Defense","f","2",40
"tymekkk","blitz","black","French Defense","f","3",51
"tymekkk","blitz","black","French Defense","f","4",108
"tymekkk","blitz","black","French Defense","f","5",185
"tymekkk","blitz","black","French Defense","f","6",414
"tymekkk","blitz","black","French Defense","f","7",114
"tymekkk","blitz","black","French Defense","f","8",263
"tymekkk","blitz","black","French Defense","g","1",10
"tymekkk","blitz","black","French Defense","g","2",37
"tymekkk","blitz","black","French Defense","g","3",56
"tymekkk","blitz","black","French Defense","g","4",89
"tymekkk","blitz","black","French Defense","g","5",123
"tymekkk","blitz","black","French Defense","g","6",137
"tymekkk","blitz","black","French Defense","g","7",75
"tymekkk","blitz","black","French Defense","g","8",230
"tymekkk","blitz","black","French Defense","h","1",12
"tymekkk","blitz","black","French Defense","h","2",23
"tymekkk","blitz","black","French Defense","h","3",23
"tymekkk","blitz","black","French Defense","h","4",32
"tymekkk","blitz","black","French Defense","h","5",76
"tymekkk","blitz","black","French Defense","h","6",139
"tymekkk","blitz","black","French Defense","h","7",63
"tymekkk","blitz","black","French Defense","h","8",56
"tymekkk","blitz","white","French Defense","a","1",3
"tymekkk","blitz","white","French Defense","a","2",2
"tymekkk","blitz","white","French Defense","a","3",31
"tymekkk","blitz","white","French Defense","a","4",15
"tymekkk","blitz","white","French Defense","a","6",5
"tymekkk","blitz","white","French Defense","a","7",3
"tymekkk","blitz","white","French Defense","a","8",4
"tymekkk","blitz","white","French Defense","b","1",10
"tymekkk","blitz","white","French Defense","b","2",11
"tymekkk","blitz","white","French Defense","b","3",36
"tymekkk","blitz","white","French Defense","b","4",24
"tymekkk","blitz","white","French Defense","b","5",19
"tymekkk","blitz","white","French Defense","b","6",6
"tymekkk","blitz","white","French Defense","b","7",6
"tymekkk","blitz","white","French Defense","b","8",4
"tymekkk","blitz","white","French Defense","c","1",24
"tymekkk","blitz","white","French Defense","c","2",26
"tymekkk","blitz","white","French Defense","c","3",53
"tymekkk","blitz","white","French Defense","c","4",16
"tymekkk","blitz","white","French Defense","c","5",33
"tymekkk","blitz","white","French Defense","c","6",6
"tymekkk","blitz","white","French Defense","c","7",6
"tymekkk","blitz","white","French Defense","c","8",2
"tymekkk","blitz","white","French Defense","d","1",28
"tymekkk","blitz","white","French Defense","d","2",73
"tymekkk","blitz","white","French Defense","d","3",48
"tymekkk","blitz","white","French Defense","d","4",91
"tymekkk","blitz","white","French Defense","d","5",35
"tymekkk","blitz","white","French Defense","d","6",17
"tymekkk","blitz","white","French Defense","d","7",5
"tymekkk","blitz","white","French Defense","d","8",1
"tymekkk","blitz","white","French Defense","e","1",27
"tymekkk","blitz","white","French Defense","e","2",53
"tymekkk","blitz","white","French Defense","e","3",45
"tymekkk","blitz","white","French Defense","e","4",60
"tymekkk","blitz","white","French Defense","e","5",38
"tymekkk","blitz","white","French Defense","e","6",10
"tymekkk","blitz","white","French Defense","e","7",7
"tymekkk","blitz","white","French Defense","e","8",4
"tymekkk","blitz","white","French Defense","f","1",43
"tymekkk","blitz","white","French Defense","f","2",25
"tymekkk","blitz","white","French Defense","f","3",60
"tymekkk","blitz","white","French Defense","f","4",37
"tymekkk","blitz","white","French Defense","f","5",16
"tymekkk","blitz","white","French Defense","f","6",14
"tymekkk","blitz","white","French Defense","f","7",10
"tymekkk","blitz","white","French Defense","f","8",6
"tymekkk","blitz","white","French Defense","g","1",41
"tymekkk","blitz","white","French Defense","g","2",13
"tymekkk","blitz","white","French Defense","g","3",27
"tymekkk","blitz","white","French Defense","g","4",22
"tymekkk","blitz","white","French Defense","g","5",28
"tymekkk","blitz","white","French Defense","g","6",12
"tymekkk","blitz","white","French Defense","g","7",6
"tymekkk","blitz","white","French Defense","g","8",1
"tymekkk","blitz","white","French Defense","h","1",9
"tymekkk","blitz","white","French Defense","h","2",5
"tymekkk","blitz","white","French Defense","h","3",25
"tymekkk","blitz","white","French Defense","h","4",17
"tymekkk","blitz","white","French Defense","h","5",13
"tymekkk","blitz","white","French Defense","h","6",8
"tymekkk","blitz","white","French Defense","h","7",10
"tymekkk","blitz","white","French Defense","h","8",2
"tymekkk","blitz","white","Giuoco Piano","a","1",1
"tymekkk","blitz","white","Giuoco Piano","a","2",5
"tymekkk","blitz","white","Giuoco Piano","a","3",21
"tymekkk","blitz","white","Giuoco Piano","a","4",9
"tymekkk","blitz","white","Giuoco Piano","a","5",3
"tymekkk","blitz","white","Giuoco Piano","a","6",3
"tymekkk","blitz","white","Giuoco Piano","a","7",3
"tymekkk","blitz","white","Giuoco Piano","a","8",3
"tymekkk","blitz","white","Giuoco Piano","b","1",8
"tymekkk","blitz","white","Giuoco Piano","b","2",7
"tymekkk","blitz","white","Giuoco Piano","b","3",14
"tymekkk","blitz","white","Giuoco Piano","b","4",21
"tymekkk","blitz","white","Giuoco Piano","b","5",15
"tymekkk","blitz","white","Giuoco Piano","b","6",8
"tymekkk","blitz","white","Giuoco Piano","b","7",5
"tymekkk","blitz","white","Giuoco Piano","b","8",1
"tymekkk","blitz","white","Giuoco Piano","c","1",11
"tymekkk","blitz","white","Giuoco Piano","c","2",10
"tymekkk","blitz","white","Giuoco Piano","c","3",66
"tymekkk","blitz","white","Giuoco Piano","c","4",47
"tymekkk","blitz","white","Giuoco Piano","c","5",7
"tymekkk","blitz","white","Giuoco Piano","c","6",8
"tymekkk","blitz","white","Giuoco Piano","c","7",8
"tymekkk","blitz","white","Giuoco Piano","c","8",1
"tymekkk","blitz","white","Giuoco Piano","d","1",17
"tymekkk","blitz","white","Giuoco Piano","d","2",36
"tymekkk","blitz","white","Giuoco Piano","d","3",27
"tymekkk","blitz","white","Giuoco Piano","d","4",63
"tymekkk","blitz","white","Giuoco Piano","d","5",30
"tymekkk","blitz","white","Giuoco Piano","d","6",6
"tymekkk","blitz","white","Giuoco Piano","d","7",7
"tymekkk","blitz","white","Giuoco Piano","d","8",3
"tymekkk","blitz","white","Giuoco Piano","e","1",33
"tymekkk","blitz","white","Giuoco Piano","e","2",16
"tymekkk","blitz","white","Giuoco Piano","e","3",31
"tymekkk","blitz","white","Giuoco Piano","e","4",46
"tymekkk","blitz","white","Giuoco Piano","e","5",49
"tymekkk","blitz","white","Giuoco Piano","e","6",29
"tymekkk","blitz","white","Giuoco Piano","e","7",11
"tymekkk","blitz","white","Giuoco Piano","e","8",9
"tymekkk","blitz","white","Giuoco Piano","f","1",42
"tymekkk","blitz","white","Giuoco Piano","f","2",13
"tymekkk","blitz","white","Giuoco Piano","f","3",59
"tymekkk","blitz","white","Giuoco Piano","f","4",25
"tymekkk","blitz","white","Giuoco Piano","f","5",25
"tymekkk","blitz","white","Giuoco Piano","f","6",12
"tymekkk","blitz","white","Giuoco Piano","f","7",11
"tymekkk","blitz","white","Giuoco Piano","f","8",6
"tymekkk","blitz","white","Giuoco Piano","g","1",35
"tymekkk","blitz","white","Giuoco Piano","g","2",6
"tymekkk","blitz","white","Giuoco Piano","g","3",16
"tymekkk","blitz","white","Giuoco Piano","g","4",19
"tymekkk","blitz","white","Giuoco Piano","g","5",12
"tymekkk","blitz","white","Giuoco Piano","g","6",9
"tymekkk","blitz","white","Giuoco Piano","g","7",7
"tymekkk","blitz","white","Giuoco Piano","h","1",5
"tymekkk","blitz","white","Giuoco Piano","h","2",7
"tymekkk","blitz","white","Giuoco Piano","h","3",29
"tymekkk","blitz","white","Giuoco Piano","h","4",7
"tymekkk","blitz","white","Giuoco Piano","h","5",9
"tymekkk","blitz","white","Giuoco Piano","h","6",6
"tymekkk","blitz","white","Giuoco Piano","h","7",4
"tymekkk","blitz","white","Giuoco Piano","h","8",2
"tymekkk","blitz","black","Grunfeld Defense","a","6",1
"tymekkk","blitz","black","Grunfeld Defense","b","2",1
"tymekkk","blitz","black","Grunfeld Defense","b","4",1
"tymekkk","blitz","black","Grunfeld Defense","b","5",2
"tymekkk","blitz","black","Grunfeld Defense","c","3",1
"tymekkk","blitz","black","Grunfeld Defense","c","6",2
"tymekkk","blitz","black","Grunfeld Defense","c","8",3
"tymekkk","blitz","black","Grunfeld Defense","d","2",1
"tymekkk","blitz","black","Grunfeld Defense","d","3",1
"tymekkk","blitz","black","Grunfeld Defense","d","5",4
"tymekkk","blitz","black","Grunfeld Defense","d","7",2
"tymekkk","blitz","black","Grunfeld Defense","e","1",1
"tymekkk","blitz","black","Grunfeld Defense","e","4",1
"tymekkk","blitz","black","Grunfeld Defense","e","5",4
"tymekkk","blitz","black","Grunfeld Defense","e","6",2
"tymekkk","blitz","black","Grunfeld Defense","f","5",3
"tymekkk","blitz","black","Grunfeld Defense","f","6",3
"tymekkk","blitz","black","Grunfeld Defense","g","6",1
"tymekkk","blitz","black","Grunfeld Defense","g","7",1
"tymekkk","blitz","black","Indian Game","a","1",7
"tymekkk","blitz","black","Indian Game","a","2",8
"tymekkk","blitz","black","Indian Game","a","3",6
"tymekkk","blitz","black","Indian Game","a","4",15
"tymekkk","blitz","black","Indian Game","a","5",18
"tymekkk","blitz","black","Indian Game","a","6",25
"tymekkk","blitz","black","Indian Game","a","7",3
"tymekkk","blitz","black","Indian Game","a","8",2
"tymekkk","blitz","black","Indian Game","b","1",5
"tymekkk","blitz","black","Indian Game","b","2",10
"tymekkk","blitz","black","Indian Game","b","3",8
"tymekkk","blitz","black","Indian Game","b","4",26
"tymekkk","blitz","black","Indian Game","b","5",24
"tymekkk","blitz","black","Indian Game","b","6",29
"tymekkk","blitz","black","Indian Game","b","7",20
"tymekkk","blitz","black","Indian Game","b","8",8
"tymekkk","blitz","black","Indian Game","c","1",3
"tymekkk","blitz","black","Indian Game","c","2",14
"tymekkk","blitz","black","Indian Game","c","3",21
"tymekkk","blitz","black","Indian Game","c","4",20
"tymekkk","blitz","black","Indian Game","c","5",49
