"spotify_track_uri","genres","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature"
"spotify:track:1VdZ0vKfR5jneCmWIUAMxK","pop, uk pop","0.642","0.289","9","-9.918","1","0.0367","0.669","0","0.18","0.407","84.996","audio_features","1VdZ0vKfR5jneCmWIUAMxK","spotify:track:1VdZ0vKfR5jneCmWIUAMxK","https://api.spotify.com/v1/tracks/1VdZ0vKfR5jneCmWIUAMxK","https://api.spotify.com/v1/audio-analysis/1VdZ0vKfR5jneCmWIUAMxK","258373","4"
"spotify:track:0vC5MmnhcAZpKeuI1HhcYA","modern folk rock, modern rock, pop rock, stomp and holler, uk americana","0.402","0.69","7","-7.198","1","0.0325","0.00274","0.000262","0.114","0.117","115.832","audio_features","0vC5MmnhcAZpKeuI1HhcYA","spotify:track:0vC5MmnhcAZpKeuI1HhcYA","https://api.spotify.com/v1/tracks/0vC5MmnhcAZpKeuI1HhcYA","https://api.spotify.com/v1/audio-analysis/0vC5MmnhcAZpKeuI1HhcYA","244187","4"
"spotify:track:1H5VQuShs4qfwBXyHF0PeH","german alternative rock, german pop rock, german rock","0.617","0.607","1","-7.015","1","0.0231","0.000876","0.0701","0.0918","0.446","102.068","audio_features","1H5VQuShs4qfwBXyHF0PeH","spotify:track:1H5VQuShs4qfwBXyHF0PeH","https://api.spotify.com/v1/tracks/1H5VQuShs4qfwBXyHF0PeH","https://api.spotify.com/v1/audio-analysis/1H5VQuShs4qfwBXyHF0PeH","236150","4"
"spotify:track:2XU0oxnq2qxCpomAAuJY8K","australian pop, pop","0.824","0.588","6","-6.4","0","0.0924","0.692","0.000104","0.149","0.513","98.027","audio_features","2XU0oxnq2qxCpomAAuJY8K","spotify:track:2XU0oxnq2qxCpomAAuJY8K","https://api.spotify.com/v1/tracks/2XU0oxnq2qxCpomAAuJY8K","https://api.spotify.com/v1/audio-analysis/2XU0oxnq2qxCpomAAuJY8K","209438","4"
"spotify:track:2Y1Nd54Jrgciu2HtpP5ymM","polish trap","0.92","0.362","11","-11.92","1","0.0938","0.0269","0.0134","0.0854","0.561","119.993","audio_features","2Y1Nd54Jrgciu2HtpP5ymM","spotify:track:2Y1Nd54Jrgciu2HtpP5ymM","https://api.spotify.com/v1/tracks/2Y1Nd54Jrgciu2HtpP5ymM","https://api.spotify.com/v1/audio-analysis/2Y1Nd54Jrgciu2HtpP5ymM","165784","4"
"spotify:track:58zsLZPvfflaiIbNWoA22O","neo soul","0.602","0.707","9","-4.097","1","0.302","0.393","0","0.165","0.554","75.087","audio_features","58zsLZPvfflaiIbNWoA22O","spotify:track:58zsLZPvfflaiIbNWoA22O","https://api.spotify.com/v1/tracks/58zsLZPvfflaiIbNWoA22O","https://api.spotify.com/v1/audio-analysis/58zsLZPvfflaiIbNWoA22O","200187","4"
"spotify:track:3HVWdVOQ0ZA45FuZGSfvns","pop, uk pop","0.798","0.675","6","-5.041","1","0.0442","0.0912","0","0.0894","0.842","101.956","audio_features","3HVWdVOQ0ZA45FuZGSfvns","spotify:track:3HVWdVOQ0ZA45FuZGSfvns","https://api.spotify.com/v1/tracks/3HVWdVOQ0ZA45FuZGSfvns","https://api.spotify.com/v1/audio-analysis/3HVWdVOQ0ZA45FuZGSfvns","219947","4"
"spotify:track:6bTAz3pg5ywBeZHCQoleJB","hip hop, rap, uk alternative hip hop, uk hip hop, underground hip hop","0.673","0.892","10","-7.175","0","0.242","0.19","0","0.228","0.293","87.5","audio_features","6bTAz3pg5ywBeZHCQoleJB","spotify:track:6bTAz3pg5ywBeZHCQoleJB","https://api.spotify.com/v1/tracks/6bTAz3pg5ywBeZHCQoleJB","https://api.spotify.com/v1/audio-analysis/6bTAz3pg5ywBeZHCQoleJB","184201","4"
"spotify:track:4bpShq8coki3AlMsXuFCDa","polish hip hop, polish trap","0.793","0.496","0","-11.091","1","0.198","0.743","0","0.111","0.269","103.014","audio_features","4bpShq8coki3AlMsXuFCDa","spotify:track:4bpShq8coki3AlMsXuFCDa","https://api.spotify.com/v1/tracks/4bpShq8coki3AlMsXuFCDa","https://api.spotify.com/v1/audio-analysis/4bpShq8coki3AlMsXuFCDa","220080","4"
"spotify:track:4DVPJXPqKLIon9BHklap1w","polish hip hop, polish trap","0.713","0.769","0","-6.613","0","0.0478","0.624","4.82e-05","0.296","0.876","150.027","audio_features","4DVPJXPqKLIon9BHklap1w","spotify:track:4DVPJXPqKLIon9BHklap1w","https://api.spotify.com/v1/tracks/4DVPJXPqKLIon9BHklap1w","https://api.spotify.com/v1/audio-analysis/4DVPJXPqKLIon9BHklap1w","219293","4"
"spotify:track:2lTtnKQgjbrBA1qnOFhBkP","indie pop, la pop","0.273","0.565","2","-7.283","1","0.248","0.516","1.68e-06","0.0855","0.298","179.518","audio_features","2lTtnKQgjbrBA1qnOFhBkP","spotify:track:2lTtnKQgjbrBA1qnOFhBkP","https://api.spotify.com/v1/tracks/2lTtnKQgjbrBA1qnOFhBkP","https://api.spotify.com/v1/audio-analysis/2lTtnKQgjbrBA1qnOFhBkP","235226","4"
"spotify:track:1TfqLAPs4K3s2rJMoCokcS","art rock, dance rock, europop, mellow gold, new romantic, new wave, new wave pop, rock, soft rock, sophisti-pop, synthpop","0.692","0.711","0","-7.498","0","0.0317","0.225","0","0.12","0.875","125.135","audio_features","1TfqLAPs4K3s2rJMoCokcS","spotify:track:1TfqLAPs4K3s2rJMoCokcS","https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS","https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS","216933","4"
"spotify:track:4RnCPWlBsY7oUDdyruod7Y","pop, uk pop","0.733","0.652","7","-9.101","1","0.0696","0.419","2.37e-06","0.521","0.459","99.998","audio_features","4RnCPWlBsY7oUDdyruod7Y","spotify:track:4RnCPWlBsY7oUDdyruod7Y","https://api.spotify.com/v1/tracks/4RnCPWlBsY7oUDdyruod7Y","https://api.spotify.com/v1/audio-analysis/4RnCPWlBsY7oUDdyruod7Y","200093","4"
"spotify:track:7eBYMVok43QesT0KnuIkjn","polish hip hop","0.664","0.739","9","-7.207","0","0.207","0.541","0","0.139","0.438","98.091","audio_features","7eBYMVok43QesT0KnuIkjn","spotify:track:7eBYMVok43QesT0KnuIkjn","https://api.spotify.com/v1/tracks/7eBYMVok43QesT0KnuIkjn","https://api.spotify.com/v1/audio-analysis/7eBYMVok43QesT0KnuIkjn","284000","4"
"spotify:track:2VeEpQCsZR6vQdo25JtdcI","polish alternative, polish indie, polish pop","0.603","0.567","7","-9.12","1","0.238","0.63","1.81e-05","0.267","0.45","115.703","audio_features","2VeEpQCsZR6vQdo25JtdcI","spotify:track:2VeEpQCsZR6vQdo25JtdcI","https://api.spotify.com/v1/tracks/2VeEpQCsZR6vQdo25JtdcI","https://api.spotify.com/v1/audio-analysis/2VeEpQCsZR6vQdo25JtdcI","227069","4"
"spotify:track:2sX7lJXsOYGP1Us6CqM9t1","modern rock, uk pop","0.689","0.706","1","-4.48","0","0.0312","0.0833","0","0.105","0.623","106.52","audio_features","2sX7lJXsOYGP1Us6CqM9t1","spotify:track:2sX7lJXsOYGP1Us6CqM9t1","https://api.spotify.com/v1/tracks/2sX7lJXsOYGP1Us6CqM9t1","https://api.spotify.com/v1/audio-analysis/2sX7lJXsOYGP1Us6CqM9t1","226268","4"
"spotify:track:1PagxpGNFgisXEh3FXkFh4","instrumental acoustic guitar","0.355","0.19","4","-14.166","0","0.0505","0.985","0.958","0.098","0.13","148.665","audio_features","1PagxpGNFgisXEh3FXkFh4","spotify:track:1PagxpGNFgisXEh3FXkFh4","https://api.spotify.com/v1/tracks/1PagxpGNFgisXEh3FXkFh4","https://api.spotify.com/v1/audio-analysis/1PagxpGNFgisXEh3FXkFh4","195000","3"
"spotify:track:0WdPGJazvbNorYCh9xNVhL","polish alternative, polish indie, polish pop","0.73","0.585","0","-9.059","1","0.0322","0.0121","0.00916","0.14","0.835","117.002","audio_features","0WdPGJazvbNorYCh9xNVhL","spotify:track:0WdPGJazvbNorYCh9xNVhL","https://api.spotify.com/v1/tracks/0WdPGJazvbNorYCh9xNVhL","https://api.spotify.com/v1/audio-analysis/0WdPGJazvbNorYCh9xNVhL","241070","4"
"spotify:track:1y9fW73XS7gXch51jzzqUt","polish hip hop, polish trap","0.766","0.468","11","-8.798","1","0.316","0.393","6.27e-05","0.109","0.537","145.01","audio_features","1y9fW73XS7gXch51jzzqUt","spotify:track:1y9fW73XS7gXch51jzzqUt","https://api.spotify.com/v1/tracks/1y9fW73XS7gXch51jzzqUt","https://api.spotify.com/v1/audio-analysis/1y9fW73XS7gXch51jzzqUt","210207","4"
"spotify:track:3FwWzOCkDwhu1RWTz3CSxJ","polish alternative, polish pop, talent show","0.646","0.346","6","-9.352","0","0.0297","0.667","0","0.114","0.203","135.94","audio_features","3FwWzOCkDwhu1RWTz3CSxJ","spotify:track:3FwWzOCkDwhu1RWTz3CSxJ","https://api.spotify.com/v1/tracks/3FwWzOCkDwhu1RWTz3CSxJ","https://api.spotify.com/v1/audio-analysis/3FwWzOCkDwhu1RWTz3CSxJ","195667","4"
"spotify:track:6Dy1jexKYriXAVG6evyUTJ","dance pop, pop, pop dance, tropical house, uk dance","0.787","0.833","8","-4.403","1","0.0478","0.018","0.00747","0.0374","0.796","123.97","audio_features","6Dy1jexKYriXAVG6evyUTJ","spotify:track:6Dy1jexKYriXAVG6evyUTJ","https://api.spotify.com/v1/tracks/6Dy1jexKYriXAVG6evyUTJ","https://api.spotify.com/v1/audio-analysis/6Dy1jexKYriXAVG6evyUTJ","162604","4"
"spotify:track:2elxgOyiNPM0QYjixON7cn","alt z, pop, pop rock, stomp and holler","0.7","0.784","0","-6.337","1","0.0297","0.018","0","0.161","0.563","117.023","audio_features","2elxgOyiNPM0QYjixON7cn","spotify:track:2elxgOyiNPM0QYjixON7cn","https://api.spotify.com/v1/tracks/2elxgOyiNPM0QYjixON7cn","https://api.spotify.com/v1/audio-analysis/2elxgOyiNPM0QYjixON7cn","205733","4"
"spotify:track:3BvheqhKGQgFMSiiJh6ayj","modern rock, rock","0.299","0.754","5","-4.078","0","0.0732","0.0195","1.3e-06","0.103","0.295","169.373","audio_features","3BvheqhKGQgFMSiiJh6ayj","spotify:track:3BvheqhKGQgFMSiiJh6ayj","https://api.spotify.com/v1/tracks/3BvheqhKGQgFMSiiJh6ayj","https://api.spotify.com/v1/audio-analysis/3BvheqhKGQgFMSiiJh6ayj","221053","4"
"spotify:track:28rASnN07Gun1cXpOsbCHo","polish pop","0.658","0.809","4","-8.095","0","0.0307","0.069","0.0468","0.0834","0.836","134.99","audio_features","28rASnN07Gun1cXpOsbCHo","spotify:track:28rASnN07Gun1cXpOsbCHo","https://api.spotify.com/v1/tracks/28rASnN07Gun1cXpOsbCHo","https://api.spotify.com/v1/audio-analysis/28rASnN07Gun1cXpOsbCHo","198222","4"
"spotify:track:375kzpRydDdOxOSCGMK53b","modern rock, rock","0.544","0.732","9","-5.984","1","0.0524","0.00197","5.06e-05","0.486","0.45","124.875","audio_features","375kzpRydDdOxOSCGMK53b","spotify:track:375kzpRydDdOxOSCGMK53b","https://api.spotify.com/v1/tracks/375kzpRydDdOxOSCGMK53b","https://api.spotify.com/v1/audio-analysis/375kzpRydDdOxOSCGMK53b","175644","4"
"spotify:track:6PQ88X9TkUIAUIZJHW2upE","pop, uk pop","0.808","0.897","11","-3.712","0","0.0348","0.0469","3.14e-05","0.364","0.591","126.026","audio_features","6PQ88X9TkUIAUIZJHW2upE","spotify:track:6PQ88X9TkUIAUIZJHW2upE","https://api.spotify.com/v1/tracks/6PQ88X9TkUIAUIZJHW2upE","https://api.spotify.com/v1/audio-analysis/6PQ88X9TkUIAUIZJHW2upE","231041","4"
"spotify:track:7clUVcSOtkNWa58Gw5RfD4","permanent wave, pop","0.514","0.898","11","-6.765","0","0.0577","0.00488","0.0345","0.0746","0.353","123.067","audio_features","7clUVcSOtkNWa58Gw5RfD4","spotify:track:7clUVcSOtkNWa58Gw5RfD4","https://api.spotify.com/v1/tracks/7clUVcSOtkNWa58Gw5RfD4","https://api.spotify.com/v1/audio-analysis/7clUVcSOtkNWa58Gw5RfD4","287907","4"
"spotify:track:0IiNfOoR2hkB0FznzscP5T","","0.674","0.635","0","-6.119","0","0.0818","0.383","0.0112","0.108","0.912","205.995","audio_features","0IiNfOoR2hkB0FznzscP5T","spotify:track:0IiNfOoR2hkB0FznzscP5T","https://api.spotify.com/v1/tracks/0IiNfOoR2hkB0FznzscP5T","https://api.spotify.com/v1/audio-analysis/0IiNfOoR2hkB0FznzscP5T","187484","4"
"spotify:track:5jumw9HzKWgSruqVgfajuk","polish hip hop, polish trap","0.869","0.685","6","-5.031","0","0.285","0.076","0","0.642","0.652","91.997","audio_features","5jumw9HzKWgSruqVgfajuk","spotify:track:5jumw9HzKWgSruqVgfajuk","https://api.spotify.com/v1/tracks/5jumw9HzKWgSruqVgfajuk","https://api.spotify.com/v1/audio-analysis/5jumw9HzKWgSruqVgfajuk","173787","4"
"spotify:track:2fLClepW4DP6WrwTbAuDOn","polish hip hop, polish trap","0.806","0.73","11","-5.937","0","0.289","0.28","0","0.125","0.724","122.984","audio_features","2fLClepW4DP6WrwTbAuDOn","spotify:track:2fLClepW4DP6WrwTbAuDOn","https://api.spotify.com/v1/tracks/2fLClepW4DP6WrwTbAuDOn","https://api.spotify.com/v1/audio-analysis/2fLClepW4DP6WrwTbAuDOn","219268","4"
