id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
66,2021.06.02,21:07:58,Mlodziak77,TRexCupcake,1508,1569,60+0,C46,Four Knights Game: Halloween Gambit,37,Checkmate,1-0,1,False,False,https://lichess.org/Zr8TSObs
67,2021.06.01,11:38:02,Mlodziak77,raelst,1525,1545,60+0,B22,Sicilian Defense: Alapin Variation,38,Resign,0-1,0,False,False,https://lichess.org/dpNCJyx8
68,2021.06.01,11:35:49,Mlodziak77,itoiz,1535,1512,60+0,C40,King's Knight Opening,28,Time forfeit,0-1,0,False,False,https://lichess.org/c8GBosHm
69,2021.06.01,11:30:27,Mlodziak77,NoisyBoy73,1506,1528,60+0,A06,Zukertort Opening: Tennison Gambit,21,Time forfeit,1-0,1,False,False,https://lichess.org/Se7NMCHv
70,2021.06.01,11:25:14,Mlodziak77,shameboy,1505,1487,60+0,B22,Sicilian Defense: Alapin Variation,22,Checkmate,1-0,1,False,False,https://lichess.org/o9RvlIG7
71,2021.06.01,11:21:10,Mlodziak77,avnialakas,1486,1422,60+0,C46,Three Knights Opening,20,Checkmate,1-0,1,False,False,https://lichess.org/l7xqRzzS
72,2021.06.01,11:19:11,Mlodziak77,addisinia,1476,1461,60+0,C46,Four Knights Game: Halloween Gambit,25,Checkmate,1-0,1,False,False,https://lichess.org/qUSHtQVA
73,2021.05.22,13:40:04,Mlodziak77,S1b,1508,1509,60+0,C00,French Defense: Orthoschnapp Gambit,30,Checkmate,0-1,0,False,False,https://lichess.org/xhiULaCJ
74,2021.05.22,12:43:24,Mlodziak77,dr_warren,1485,1484,60+0,C41,Philidor Defense,35,Time forfeit,1-0,1,False,False,https://lichess.org/ibBp9pYD
75,2021.05.22,12:39:52,Mlodziak77,Mjrew13,1485,1489,60+0,C46,Four Knights Game: Halloween Gambit,30,Checkmate,0-1,0,False,False,https://lichess.org/PCcxBNK5
76,2021.05.22,12:35:24,Mlodziak77,ywetrytywerywtry,1511,1508,60+0,B12,Caro-Kann Defense: MarĂłczy Variation,38,Time forfeit,0-1,0,False,False,https://lichess.org/lxdBN7Ae
