id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
434,2021.04.14,14:57:05,Mlodziak77,SpookyChess05,1721,1714,180+2,C00,French Defense: Orthoschnapp Gambit,13,Checkmate,0-1,0,False,True,https://lichess.org/NJc7UQgZ
435,2021.04.14,14:37:45,Mlodziak77,thompma,1721,1728,180+2,B06,Modern Defense,28,Resign,0-1,0,False,True,https://lichess.org/xWIoGAku
436,2021.04.14,12:27:18,Mlodziak77,RenessanseEcho,1720,1674,180+2,B21,Sicilian Defense: Smith-Morra Gambit,32,Time forfeit,1-0,1,True,True,https://lichess.org/5PECIrBo
437,2021.04.14,12:18:04,Mlodziak77,Deepakdhamiu16,1732,1739,180+2,B12,Caro-Kann Defense: MarĂłczy Variation,28,Resign,0-1,0,False,True,https://lichess.org/pOL7pxs0
438,2021.04.14,11:55:13,Mlodziak77,javison23,1731,1762,180+2,C46,Three Knights Opening,44,Resign,1/2-1/2,0.5,True,True,https://lichess.org/DeOB5fcd
439,2021.04.13,09:22:24,Mlodziak77,ghvathj,1733,1809,180+2,A06,Zukertort Opening: Tennison Gambit,73,Checkmate,0-1,0,True,True,https://lichess.org/LsszDK2I
440,2021.04.12,19:45:13,Mlodziak77,zabadiel,1728,1724,180+2,C46,Three Knights Opening,33,Resign,1-0,1,True,True,https://lichess.org/ixE7R693
441,2021.04.12,13:44:43,Mlodziak77,Jaithra0207,1719,1859,180+2,C00,French Defense: Steiner Variation,30,Resign,1-0,1,False,True,https://lichess.org/bJfuZb9R
442,2021.04.12,11:08:31,Mlodziak77,mrguest,1713,1732,180+2,B12,Caro-Kann Defense: MarĂłczy Variation,23,Resign,1-0,1,False,True,https://lichess.org/kzLGSk1A
443,2021.04.12,10:54:50,Mlodziak77,Arjunsinh25,1708,1629,180+2,C46,Four Knights Game: Halloween Gambit,23,Time forfeit,1-0,1,True,True,https://lichess.org/1P6XZ9Ss
444,2021.04.12,09:54:11,Mlodziak77,Redhunter24,1702,1698,180+2,C40,Elephant Gambit: Paulsen Countergambit,38,Resign,1-0,1,False,True,https://lichess.org/dpIdt77Z
445,2021.04.12,09:20:12,Mlodziak77,NITIN367,1696,1698,180+2,B23,Sicilian Defense: Closed,22,Checkmate,1-0,1,False,True,https://lichess.org/bVMke9b8
446,2021.04.11,21:33:57,Mlodziak77,kavin3749_yeet,1703,1641,180+2,C46,Three Knights Opening,26,Resign,0-1,0,False,True,https://lichess.org/0NFYJzxZ
447,2021.04.11,17:14:12,Mlodziak77,kiljardi,1714,1715,180+2,C46,Three Knights Opening,16,Resign,0-1,0,False,True,https://lichess.org/7P1otheL
448,2021.04.11,16:22:16,Mlodziak77,paulmorphysghost,1709,1681,180+2,A06,Zukertort Opening: Tennison Gambit,9,Resign,1-0,1,False,True,https://lichess.org/oVPJNamW
449,2021.04.11,16:14:22,Mlodziak77,Sangorag,1715,1715,180+2,B23,Sicilian Defense: Closed,26,Checkmate,0-1,0,True,True,https://lichess.org/XDnXQirr
450,2021.04.11,16:07:28,Mlodziak77,pwkakade,1720,1778,180+2,C00,French Defense: Steiner Variation,19,Time forfeit,0-1,0,False,True,https://lichess.org/PSCOJYdv
451,2021.04.11,16:02:28,Mlodziak77,Chessinpol,1726,1705,180+2,B06,Modern Defense,21,Resign,0-1,0,False,True,https://lichess.org/ywLwjj3a
452,2021.04.11,15:19:24,Mlodziak77,Ismo8215,1719,1752,180+2,B23,Sicilian Defense: Closed,25,Resign,1-0,1,False,True,https://lichess.org/gdDc3ymk
453,2021.04.11,14:15:33,Mlodziak77,Centaurus1960,1718,1818,180+2,A06,Zukertort Opening: Tennison Gambit,37,Resign,1-0,1,False,True,https://lichess.org/J0ndblwo
454,2021.04.11,13:58:53,Mlodziak77,DebuDavid,1718,1719,180+2,B23,"Sicilian Defense: Closed, Traditional",24,Checkmate,1-0,1,True,True,https://lichess.org/PhcTP0aa
455,2021.04.11,10:25:24,Mlodziak77,Chrisauii,1710,1710,180+2,B00,Owen Defense,45,Checkmate,1-0,1,True,True,https://lichess.org/ZMUTRmtm
456,2021.04.11,10:16:20,Mlodziak77,Cunammis,1705,1634,180+2,C41,Philidor Defense,28,Checkmate,1-0,1,True,True,https://lichess.org/5qvYv86D
457,2021.04.11,09:28:19,Mlodziak77,FetteBerta,1703,1790,180+2,B23,Sicilian Defense: Closed,24,Resign,1-0,1,True,True,https://lichess.org/OscF8kN4
458,2021.04.10,21:27:45,Mlodziak77,kkoevans,1709,1708,180+2,C00,French Defense: Orthoschnapp Gambit,19,Time forfeit,0-1,0,False,True,https://lichess.org/2IXJMzEv
459,2021.04.09,23:38:22,Mlodziak77,Colombia1,1699,1668,180+2,C46,Four Knights Game: Halloween Gambit,14,Time forfeit,1-0,1,False,True,https://lichess.org/W1qMmN31
460,2021.04.09,23:24:32,Mlodziak77,daft94,1693,1666,180+2,C00,French Defense: Steiner Variation,44,Resign,1-0,1,True,True,https://lichess.org/amz089SE
461,2021.04.09,11:27:26,Mlodziak77,topalboris,1698,1789,180+2,C46,Four Knights Game: Halloween Gambit,28,Resign,1-0,1,False,True,https://lichess.org/wTezUEib
462,2021.04.09,11:03:57,Mlodziak77,YATSEVICH_LEXUS,1698,1722,180+2,C46,Three Knights Opening,26,Checkmate,1-0,1,True,True,https://lichess.org/iclgPESn
463,2021.04.08,20:05:32,Mlodziak77,mohamedtal,1716,1639,180+2,A06,Zukertort Opening: Tennison Gambit,14,Resign,0-1,0,False,True,https://lichess.org/uEJxcloc
464,2021.04.08,19:58:40,Mlodziak77,leo5t,1712,1593,180+2,C46,Three Knights Opening,13,Resign,1-0,1,False,True,https://lichess.org/af6Ox8E9
