id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
51,2021.06.18,18:21:55,aminomidi,Mlodziak77,1786,1804,600+0,C24,Bishop's Opening: Berlin Defense,24,Checkmate,0-1,1,True,False,https://lichess.org/RP59cIix
52,2021.05.23,17:23:24,rishiparyani,Mlodziak77,1868,1795,600+0,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Bishop Sacrifice Line",14,Resign,0-1,1,False,False,https://lichess.org/4hwl2nO4
53,2021.05.22,20:20:11,Tiho2002,Mlodziak77,1773,1779,600+0,A10,English Opening: Jaenisch Gambit,54,Checkmate,0-1,1,True,False,https://lichess.org/REHKtXS5
54,2021.05.18,19:21:29,Shakhmatist1,Mlodziak77,1756,1773,600+0,A01,Nimzo-Larsen Attack: Symmetrical Variation,24,Resign,1-0,0,False,False,https://lichess.org/WAQw1EdU
55,2021.05.15,21:43:29,Meqqit,Mlodziak77,1821,1779,600+0,A45,Indian Defense,15,Resign,1-0,0,True,False,https://lichess.org/KnKgTFRZ
56,2021.05.12,22:40:55,vukeli,Mlodziak77,1790,1791,600+0,C31,"King's Gambit Declined: Falkbeer Countergambit, Miles Gambit",18,Resign,1-0,0,False,False,https://lichess.org/Mh743yZ1
57,2021.05.12,21:46:05,majeve,Mlodziak77,1783,1799,600+0,C46,Four Knights Game: Italian Variation,23,Resign,1-0,0,False,False,https://lichess.org/wgJeA2RI
58,2021.05.12,11:54:47,Arvinjag88,Mlodziak77,1767,1791,600+0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",12,Resign,1-0,0,True,False,https://lichess.org/wfKZt7Ig
59,2021.05.12,11:38:02,kontark,Mlodziak77,1785,1788,600+0,D02,Queen's Pawn Game: Chigorin Variation,27,Resign,0-1,1,True,False,https://lichess.org/yItsww6w
60,2021.05.09,19:10:42,rrauf9925,Mlodziak77,1773,1780,600+0,A45,Indian Defense,35,Checkmate,0-1,1,True,False,https://lichess.org/i5JPgZQG
61,2021.05.09,18:27:16,Lorigno99,Mlodziak77,1801,1771,600+0,D02,London System: Poisoned Pawn Variation,28,Resign,0-1,1,True,False,https://lichess.org/jWjwpW8Q
62,2021.05.09,13:13:36,Kingjames_II,Mlodziak77,1787,1762,600+0,C47,Four Knights Game: Scotch Variation Accepted,38,Resign,0-1,1,False,False,https://lichess.org/W3WTazZr
63,2021.05.05,21:41:12,backwards78,Mlodziak77,1728,1771,600+0,C46,Four Knights Game,17,Resign,1-0,0,False,False,https://lichess.org/j7wLDfuR
64,2021.05.05,21:37:46,kmrohman,Mlodziak77,1835,1777,600+0,C42,Russian Game: Stafford Gambit,14,Resign,1-0,0,False,False,https://lichess.org/15OVQYXA
65,2021.05.05,21:20:51,penguins5,Mlodziak77,1796,1760,600+0,D11,Slav Defense: Bonet Gambit,8,Resign,0-1,1,False,False,https://lichess.org/uZDHtb1D
66,2021.05.05,20:08:29,morethangeorgii,Mlodziak77,1842,1739,600+0,C42,Russian Game: Italian Variation,29,Resign,0-1,1,False,False,https://lichess.org/EpcWa2qn
67,2021.05.05,19:47:12,Frengky96,Mlodziak77,1724,1740,600+0,A52,Indian Defense: Budapest Defense,19,Checkmate,1-0,0,True,False,https://lichess.org/wi93Sxaf
68,2021.05.05,19:28:02,JegalLyang,Mlodziak77,1747,1735,600+0,A52,Indian Defense: Budapest Defense,8,Resign,0-1,1,True,False,https://lichess.org/Wv5C0nnK
69,2021.04.11,17:08:33,ArianFarahbakhsh,Mlodziak77,1753,1747,600+0,C42,Russian Game,21,Resign,1-0,0,False,False,https://lichess.org/2ESlXUSw
70,2021.04.10,21:34:30,ALIzaraZo,Mlodziak77,1699,1754,600+0,D08,"Queen's Gambit Declined: Albin Countergambit, Normal Line",25,Resign,1-0,0,False,False,https://lichess.org/az6HuHRL
71,2021.04.04,10:28:54,zohier1994,Mlodziak77,1784,1760,600+0,C55,"Italian Game: Two Knights Defense, Modern Bishop's Opening",36,Checkmate,1-0,0,False,False,https://lichess.org/WoWVFsN9
72,2021.04.04,06:52:30,MNkosi,Mlodziak77,1697,1754,600+0,C42,Russian Game: Stafford Gambit,33,Checkmate,0-1,1,False,False,https://lichess.org/Z4o8Zote
73,2021.04.04,06:32:16,check-mate169,Mlodziak77,1783,1747,600+0,C42,Russian Game: Three Knights Game,37,Checkmate,0-1,1,True,False,https://lichess.org/5g75CJB6
74,2021.04.03,16:06:55,Amora1972,Mlodziak77,1748,1741,600+0,C46,Four Knights Game: Italian Variation,67,Time forfeit,0-1,1,True,False,https://lichess.org/XSWOWco7
75,2021.03.30,21:50:03,amike4552,Mlodziak77,1699,1724,600+0,D00,Queen's Pawn Game: Steinitz Countergambit,24,Resign,0-1,1,False,False,https://lichess.org/iQpz5Mvm
76,2021.03.30,21:36:48,tistaigordonizzando,Mlodziak77,1712,1718,600+0,C42,Russian Game: Three Knights Game,7,Checkmate,0-1,1,False,False,https://lichess.org/SayC2pKS
77,2021.03.30,21:09:23,franco4459,Mlodziak77,1708,1704,600+0,D00,Queen's Pawn Game,17,Checkmate,0-1,1,False,False,https://lichess.org/9uQWWT7I
78,2021.03.30,20:07:23,Mo-Alwahsh,Mlodziak77,1720,1704,600+0,C42,Russian Game: Italian Variation,13,Resign,0-1,1,False,False,https://lichess.org/UayrrXll
