id,date,time,white,black,white elo,black elo,time control,opening code,opening name,length,termination,result,hero points,has eval,has increment,link
318,2020.12.27,15:52:10,jopogsky2020,tymekkk,1672,1580,180+2,B50,Sicilian Defense: 2.Nf3 d6,44,-,0-1,1,False,True,Chess.com
319,2020.12.27,19:34:04,drzak1970,tymekkk,1558,1587,180+2,A45,Indian Game:,42,-,0-1,1,False,True,Chess.com
320,2020.12.29,19:55:26,Agus_arte,tymekkk,1546,1593,180+2,B23,Sicilian Defense: Grand Prix Attack 3...d6,14,-,0-1,1,False,True,Chess.com
321,2020.12.29,19:57:08,TomaszZagorski,tymekkk,1553,1600,180+2,A45,Indian Game:,28,-,0-1,1,False,True,Chess.com
322,2020.12.31,20:51:44,werborg1of10,tymekkk,1573,1614,180+2,B20,Sicilian Defense: Bowdler Attack,22,-,0-1,1,False,True,Chess.com
323,2020.12.31,23:14:44,miw210,tymekkk,1557,1621,180+2,B90,Sicilian Defense: Open Najdorf Lipnitsky Attack,11,-,0-1,1,False,True,Chess.com
324,2020.11.13,20:21:45,Jan_Wyczawski,tymekkk,1318,1329,180,C02,French Defense: Advance Paulsen Attack 5...Qb6 6.Be2,34,-,1-0,0,False,False,Chess.com
325,2020.11.22,10:52:18,saravindh,tymekkk,1352,1391,180+2,C00,French Defense: Kings Indian Attack 2...d5,31,-,0-1,1,False,True,Chess.com
326,2020.11.22,11:30:02,UnSeal,tymekkk,1389,1530,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Nc3,63,-,0-1,1,False,True,Chess.com
327,2020.11.22,11:41:55,Hoang_Anh24,tymekkk,1389,1554,180+2,C01,French Defense: Exchange Variation 3...exd5 4.Nf3 Bd6,31,-,0-1,1,False,True,Chess.com
328,2020.11.22,19:44:27,DentedHelmet,tymekkk,1546,1524,180+2,A16,English Opening: Anglo Indian Queens Knight Variation 2...g6 3.g3,18,-,1-0,0,False,True,Chess.com
