Country_code_A3,Name,C_group_IM24_sh,dev_country,Substance,FOOD_system_stage,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015
FLK,Falkland Islands (Malvinas),06:_Rest South America,D,GWP_100_CH4,LULUC (Production),0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.1295,0.1784,0.1556,0.1713,0.0074,1.9676,0.8663,0,0.5127,0,0,0,0.0177,0,0,0,1.4851,0,0,0
FRA,France,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),1.9053,1.9053,1.9053,1.9053,1.9053,1.9053,0.4288,0.4742,0.6552,0.6054,0.9492,1.6044,1.1113,7.5246,1.3756,3.0982,0.2688,0.2783,2.0306,1.9704,1.2851,0.6991,5.1877,0.2735,2.5377,0.5624
GAB,Gabon,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),13.9297,13.9297,13.9297,13.9297,13.9297,13.9297,1.9678,1.1689,1.158,1.1818,0.9551,1.8869,2.9294,4.8394,17.7102,12.44,20.071,16.3074,36.7077,6.3876,8.7208,23.848,17.2053,20.0897,6.5023,14.0771
GBR,United Kingdom of Great Britain and Northern Ireland,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0.2539,0.2539,0.2539,0.2539,0.2539,0.2539,0.6908,0.5528,0.5324,0.5822,0.5327,1.4817,0,12.5718,0,1.3583,1.0243,6.9749,0,0.5891,1.5181,1.7885,4.5787,0,0,1.4065
GEO,Georgia,16:_Russia +,I,GWP_100_CH4,LULUC (Production),0.485803024710334,0.485803024710334,0.4857,0.4857,0.4857,0.4857,0.1982,0.0667,0.1179,0.18,0.0334,2.1455,0.122,0.1516,0.4321,0.4474,0.4881,0.1525,0.3559,0.122,0.8481,0.0458,0.0051,0.4474,0.3711,1.1795
GHA,Ghana,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),14.83,14.83,14.83,14.83,14.83,14.83,4.7434,16.1321,41.8836,23.4057,26.0767,24.3358,9.6331,3.9717,18.3029,11.8125,11.2203,15.9262,8.4409,17.2606,12.5073,9.1989,21.6351,13.0489,6.4825,12.7049
GIB,Gibraltar,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),0,0,0,0,0,0,0,0,0.0178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIN,Guinea,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),44.4743,44.4743,44.4743,44.4743,44.4743,44.4743,12.4616,14.2906,28.4146,24.2712,16.238,34.991,17.574,40.3789,68.0443,42.0293,67.4555,72.7916,20.9208,38.6636,28.3994,44.0062,53.855,29.1533,42.3303,70.4049
GMB,Gambia,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),0.8479,0.8479,0.8479,0.8479,0.8479,0.8479,4.7889,5.5043,4.5466,12.0491,9.2167,5.6851,1.903,0.5448,0.1263,0.229,0.3396,0.3553,0.1579,0.608,1.216,0.9159,0.8686,0.1658,0.1421,0.1342
GNB,Guinea-Bissau,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),3.382,3.382,3.382,3.382,3.382,3.382,0.2285,1.7039,8.9944,15.5905,7.5367,18.8399,5.314,2.7004,1.1449,1.0186,1.3659,1.8003,1.1765,4.098,5.1244,2.8741,3.0794,1.1054,1.3739,1.9977
GNQ,Equatorial Guinea,08:_Western_Africa,D,GWP_100_CH4,LULUC (Production),0.0069,0.0069,0.0069,0.0069,0.0069,0.0069,0.0108,0.0108,0.0108,0.0108,0,0,0,0,0,0,0.0237,0.0079,0.0158,0,0.0079,0.0158,0.0079,0.0079,0.0237,0
GRC,Greece,11:_OECD_Europe,I,GWP_100_CH4,LULUC (Production),1.5793,1.5793,1.5793,1.5793,1.5793,1.5793,0.9493,1.0582,6.0977,0.657,1.5105,2.5895,0.129,0.1003,1.4977,1.1414,1.2112,7.2757,3.7902,0.5024,0.1669,2.4768,1.4452,1.5737,0.3694,0.1947
GRD,Grenada,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),0.0005,0.0005,0.0005,0.0005,0.0005,0.0005,0.0007,0.0009,0.0002,0.0007,0.0006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTM,Guatemala,04:_Rest Central America,D,GWP_100_CH4,LULUC (Production),44.5879,44.5879,44.5879,44.5879,44.5879,44.5879,27.2485,19.0049,76.102,20.9951,49.3821,4.0738,32.0976,184.619,5.6493,118.4205,17.1029,65.1823,21.8925,53.1973,26.5757,22.9973,19.8942,44.2165,10.4308,32.6395
GUY,French Guyana,06:_Rest South America,D,GWP_100_CH4,LULUC (Production),1.7769,1.7769,1.7769,1.7769,1.7769,1.7769,0.7555,0.715,0.8067,0.8388,0.123,1.1348,2.7897,3.365,6.9667,1.9005,0.4021,0.6935,3.7912,2.246,2.0097,0.0237,0.2997,0.0237,0.0948,0.82
GUY,Guyana,06:_Rest South America,D,GWP_100_CH4,LULUC (Production),111.0365,111.0365,111.0365,111.0365,111.0365,111.0365,22.7342,21.2876,59.0198,9.3806,7.193,39.6711,54.4784,333.6296,31.3194,121.3299,46.9603,40.2312,62.2241,82.4333,198.7334,44.6662,88.5907,66.3961,144.4222,254.1523
HKG,China. Hong Kong SAR,20:_China +,D,GWP_100_CH4,LULUC (Production),0.0257,0.0257,0.0257,0.0257,0.0257,0.0257,0.0056,0.0169,0.0056,0.0056,0.0022,0,0,0.0237,0.0869,0.0158,0.0553,0.0158,0.0474,0,0.0316,0.0316,0,0.0474,0,0
