Województwo;Miejscowoœæ;Kod punktu pomiarowego;Nazwa punktu pomiarowego;Wspó³rz. pp WGS84 (d³. geogr.);Wspó³rz. pp WGS84 (szer. geogr.);Cel pomiaru;Data rozpoczêcia;Data zakoñczenia;Nazwa odcinka drogi;Czas odniesienia;Laeq po korekcie [dB]
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;59,4
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;60,1
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;60,4
dolnoœl¹skie;Kamienna Góra;D_02_000414_001;Kamienna Góra, ul. Wa³brzyska 2C;16,035817;50,788539;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Kamienna Góra, ul. Wa³brzyska 2C;Wieczór 4h;65,1
dolnoœl¹skie;Kamienna Góra;D_02_000415_001;Kamienna Góra, ul. Jeleniogórska;16,015556;50,77875;Pañstwowy monitoring œrodowiska, art. 26 Poœ;21.09.2020 22:42;21.09.2020 23:42;Kamienna Góra, ul. Jeleniogórska;Noc 8h;60,2
dolnoœl¹skie;Kamienna Góra;D_02_000415_001;Kamienna Góra, ul. Jeleniogórska;16,015556;50,77875;Pañstwowy monitoring œrodowiska, art. 26 Poœ;24.09.2020 06:00;10.11.2020 06:00;Kamienna Góra, ul. Jeleniogórska;Dzieñ 16h;68,7
dolnoœl¹skie;Kamienna Góra;D_02_000416_001;Kamienna Góra, ul. Krzeszowska ppk3;16,045972;50,769778;Pañstwowy monitoring œrodowiska, art. 26 Poœ;07.09.2020 10:16;09.11.2020 15:15;Kamienna Góra, ul. Krzeszowska;Dzieñ 16h;69,1
dolnoœl¹skie;Kamienna Góra;D_02_000416_001;Kamienna Góra, ul. Krzeszowska ppk3;16,045972;50,769778;Pañstwowy monitoring œrodowiska, art. 26 Poœ;21.09.2020 22:00;22.09.2020 00:20;Kamienna Góra, ul. Krzeszowska;Noc 8h;61,9
dolnoœl¹skie;Kamienna Góra;D_02_000417_001;Kamienna Góra, ul. Koœciuszki ppk2;16,038444;50,779944;Pañstwowy monitoring œrodowiska, art. 26 Poœ;15.09.2020 18:08;10.11.2020 13:37;Kamienna Góra, ul. Koœciuszki;Dzieñ 16h;68,1
dolnoœl¹skie;Kamienna Góra;D_02_000417_001;Kamienna Góra, ul. Koœciuszki ppk2;16,038444;50,779944;Pañstwowy monitoring œrodowiska, art. 26 Poœ;17.09.2020 22:00;18.09.2020 00:25;Kamienna Góra, ul. Koœciuszki;Noc 8h;63,8
dolnoœl¹skie;Kamienna Góra;D_02_000418_001;Kamienna Góra, ul. Legnicka ppk1;16,040167;50,790333;Pañstwowy monitoring œrodowiska, art. 26 Poœ;07.09.2020 12:04;09.11.2020 13:46;Kamienna Góra, ul. Legnicka;Dzieñ 16h;67,4
dolnoœl¹skie;Kamienna Góra;D_02_000418_001;Kamienna Góra, ul. Legnicka ppk1;16,040167;50,790333;Pañstwowy monitoring œrodowiska, art. 26 Poœ;17.09.2020 23:17;18.09.2020 01:29;Kamienna Góra, ul. Legnicka;Noc 8h;57,9
dolnoœl¹skie;Kier¿no;D_02_000396_001;PPH1;15,422194;51,267969;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);30.09.2020 12:00;01.10.2020 12:00;A4 32+610;Dzieñ 16h;81,4
dolnoœl¹skie;Kier¿no;D_02_000396_001;PPH1;15,422194;51,267969;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);30.09.2020 12:00;01.10.2020 12:00;A4 32+610;Noc 8h;78,9
dolnoœl¹skie;Lubañ;D_02_000405_001;PPH10;15,28155;51,129597;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);27.08.2020 18:00;28.08.2020 18:00;DK30 21+290;Dzieñ 16h;66,6
dolnoœl¹skie;Lubañ;D_02_000405_001;PPH10;15,28155;51,129597;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);27.08.2020 18:00;28.08.2020 18:00;DK30 21+290;Noc 8h;61,1
dolnoœl¹skie;Milicz;D_02_000404_001;PPH9;17,278442;51,509442;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);03.06.2020 09:00;04.06.2020 09:00;DK15 31+570;Dzieñ 16h;68,7
dolnoœl¹skie;Milicz;D_02_000404_001;PPH9;17,278442;51,509442;Pomiar w trybie art.175 ust.1 Poœ (pomiary okresowe);03.06.2020 09:00;04.06.2020 09:00;DK15 31+570;Noc 8h;64,4
dolnoœl¹skie;Oleœnica;D_02_000384_001;ul. Wiejska;17,363833;51,202083;Pañstwowy monitoring œrodowiska, art. 26 Poœ;15.06.2020 09:00;22.10.2020 22:00;Oleœnica, ul. Wiejska;Dzieñ 16h;65,8
dolnoœl¹skie;Oleœnica;D_02_000384_001;ul. Wiejska;17,363833;51,202083;Pañstwowy monitoring œrodowiska, art. 26 Poœ;19.10.2020 22:00;20.10.2020 04:00;Oleœnica, ul. Wiejska;Noc 8h;50,4
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;65,4
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;66,5
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;66,9
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;67,9
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;69,1
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;69,2
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;69,4
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;69,5
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 12h;70,4
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;66
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;66,5
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;66,7
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;67
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;67,6
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;67,7
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;68,6
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;68,8
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;68,9
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;69
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Dzieñ 16h;69,7
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;60
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;61,1
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;61,3
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;61,4
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;62,1
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;62,7
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;62,8
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;62,9
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;63
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;64,1
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;64,2
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Noc 8h;64,8
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;65,8
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;66,3
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;66,5
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;66,6
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;67,1
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;67,2
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;67,3
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;67,5
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;67,9
dolnoœl¹skie;Oleœnica;D_02_000385_001;ul. Krzywoustego;17,41325;51,200472;Pañstwowy monitoring œrodowiska, art. 26 Poœ;01.01.2020 00:00;31.12.2020 23:59;Oleœnica, ul. Krzywoustego 33a;Wieczór 4h;68
dolnoœl¹skie;Oleœnica;D_02_000386_001;ul. Wileñska 24;17,407833;51,208639;Pañstwowy monitoring œrodowiska, art. 26 Poœ;15.06.2020 09:00;27.08.2020 22:00;Oleœnica, ul. Wileñska;Dzieñ 16h;62,5
dolnoœl¹skie;Oleœnica;D_02_000386_001;ul. Wileñska 24;17,407833;51,208639;Pañstwowy monitoring œrodowiska, art. 26 Poœ;10.09.2020 22:00;19.10.2020 04:00;Oleœnica, ul. Wileñska;Noc 8h;56,9
dolnoœl¹skie;Oleœnica;D_02_000387_001;ul. Wojska Polskiego;17,400611;51,215583;Pañstwowy monitoring œrodowiska, art. 26 Poœ;16.06.2020 09:00;29.10.2020 22:00;Oleœnica, ul. Wojska Polskiego;Dzieñ 16h;66,1
